,TITLE,LINK,JOURNAL_ID,YEAR,LINK_CIT
39575,"THE ""UNHOLY"" CHIKUNGUNYA-DENGUE-ZIKA TRINITY: A THEORETICAL ANALYSIS",http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=1,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d1%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000418693000002&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=1&recid=WOS:000418693000002&PREC_REFCOUNT=70&fromRightPanel=true
39576,JOINT ESTIMATION OF THE TRANSMISSIBILITY AND SEVERITY OF EBOLA VIRUS DISEASE IN REAL TIME,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=2,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d2%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000418693000003&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=2&recid=WOS:000418693000003&PREC_REFCOUNT=19&fromRightPanel=true
39577,AVIAN INFLUENZA A H7N9 VIRUS HAS BEEN ESTABLISHED IN CHINA,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=3,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d3%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000418693000004&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=3&recid=WOS:000418693000004&PREC_REFCOUNT=46&fromRightPanel=true
39578,PREVENTING THE SPREAD OF SCHISTOSOMIASIS IN GHANA: POSSIBLE OUTCOMES OF INTEGRATED OPTIMAL CONTROL STRATEGIES,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=4,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d4%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000418693000005&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=4&recid=WOS:000418693000005&PREC_REFCOUNT=57&fromRightPanel=true
39579,CRITICAL CONTACT RATE FOR VECTOR-HOST-PATHOGEN OSCILLATION INVOLVING CO-FEEDING AND DIAPAUSE,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=5,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d5%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000418693000006&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=5&recid=WOS:000418693000006&PREC_REFCOUNT=23&fromRightPanel=true
39580,BISTABILITY ANALYSIS OF AN HIV MODEL WITH IMMUNE RESPONSE,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=6,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d6%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000418693000007&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=6&recid=WOS:000418693000007&PREC_REFCOUNT=45&fromRightPanel=true
39581,DYNAMICS OF BACTERIA-PHAGE INTERACTIONS WITH IMMUNE RESPONSE IN A CHEMOSTAT,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=7,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d7%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000418693000008&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=7&recid=WOS:000418693000008&PREC_REFCOUNT=36&fromRightPanel=true
39582,EXPLORING THE ROLE OF VERTICAL HETEROGENEITY IN THE STABILIZATION OF PLANKTONIC ECOSYSTEMS UNDER EUTROPHICATION,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=8,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d8%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000418693000009&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=8&recid=WOS:000418693000009&PREC_REFCOUNT=52&fromRightPanel=true
39583,CROWDING AND LIGHT LIMITATION AFFECT PHYTOPLANKTON COMPETITION FOR NITROGEN,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=9,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d9%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000418693000010&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=9&recid=WOS:000418693000010&PREC_REFCOUNT=26&fromRightPanel=true
39584,"SPATIOTEMPORAL TRANSMISSION DYNAMICS OF RECENT EBOLA OUTBREAK IN SIERRA LEONE, WEST AFRICA: IMPACT OF CONTROL MEASURES",http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=10,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d10%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000411823900001&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=10&recid=WOS:000411823900001&PREC_REFCOUNT=39&fromRightPanel=true
39585,THE OPTIMAL IMPLEMENTATION OF THE TROJAN Y CHROMOSOME ERADICATION STRATEGY OF AN INVASIVE SPECIES,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=11,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d11%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000411823900002&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=11&recid=WOS:000411823900002&PREC_REFCOUNT=39&fromRightPanel=true
39586,GLOBAL DYNAMICS OF AN SVIR EPIDEMIOLOGICAL MODEL WITH INFECTION AGE AND NONLINEAR INCIDENCE,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=35&SID=7C2zASCUWRzxloESMWg&page=1&doc=12,35,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d35%26log_event%3dyes%26product%3dWOS%26SID%3d7C2zASCUWRzxloESMWg%26viewType%3dfullRecord%26doc%3d12%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000411823900003&search_mode=CitedRefList&SID=6AekNFEk1k99su3143y&parentProduct=WOS&parentQid=35&parentDoc=12&recid=WOS:000411823900003&PREC_REFCOUNT=40&fromRightPanel=true
