,TITLE,LINK,JOURNAL_ID,YEAR,LINK_CIT
56,Fragment library design considerations,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=56,47,2012,NaN
57,Low entanglement wavefunctions,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=57,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d57%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000309592500006&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=57&recid=WOS:000309592500006&PREC_REFCOUNT=98&fromRightPanel=true
58,Coarse-grained models of water,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=58,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d58%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000309592500007&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=58&recid=WOS:000309592500007&PREC_REFCOUNT=63&fromRightPanel=true
59,A survey of computational molecular science using graphics processing units,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=59,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d59%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000307927500002&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=59&recid=WOS:000307927500002&PREC_REFCOUNT=56&fromRightPanel=true
60,Resummation methods,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=60,47,2012,NaN
61,Essential dynamics: foundation and applications,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=61,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d61%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000307927500004&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=61&recid=WOS:000307927500004&PREC_REFCOUNT=61&fromRightPanel=true
62,New advances in metadynamics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=62,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d62%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000307927500005&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=62&recid=WOS:000307927500005&PREC_REFCOUNT=65&fromRightPanel=true
63,A refinement of everyday thinking: the energetic span model for kinetic assessment of catalytic cycles,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=63,47,2012,NaN
64,deMon2k,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=64,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d64%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000305393700003&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=64&recid=WOS:000305393700003&PREC_REFCOUNT=34&fromRightPanel=true
65,pi-Conjugation,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=65,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d65%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000305393700001&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=65&recid=WOS:000305393700001&PREC_REFCOUNT=56&fromRightPanel=true
66,PSI4: an open-source ab initio electronic structure program,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=66,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d66%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000305393700004&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=66&recid=WOS:000305393700004&PREC_REFCOUNT=46&fromRightPanel=true
67,Next challenges in protein-protein docking: from proteome to interactome and beyond,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=67,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d67%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000305393700009&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=67&recid=WOS:000305393700009&PREC_REFCOUNT=64&fromRightPanel=true
68,Transition metal catalysis by density functional theory and density functional theory/molecular mechanics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=68,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d68%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000302948100001&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=68&recid=WOS:000302948100001&PREC_REFCOUNT=57&fromRightPanel=true
69,Polarizable continuum model,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=69,47,2012,NaN
70,Computational toxicology: a tool for all industries,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=70,47,2012,NaN
71,Hansch analysis 50 years on,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=71,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d71%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000302948100005&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=71&recid=WOS:000302948100005&PREC_REFCOUNT=79&fromRightPanel=true
72,Ab initio calculation of magnetic circular dichroism,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=72,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d72%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000302948100006&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=72&recid=WOS:000302948100006&PREC_REFCOUNT=80&fromRightPanel=true
73,Synergistic use of NMR and MD simulations to study the structural heterogeneity of proteins,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=73,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d73%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000302948100008&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=73&recid=WOS:000302948100008&PREC_REFCOUNT=67&fromRightPanel=true
74,Optimization of protein models,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=74,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d74%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000302948100009&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=74&recid=WOS:000302948100009&PREC_REFCOUNT=92&fromRightPanel=true
75,Density-functional tight binding - an approximate density-functional theory method,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=2&doc=75,47,2012,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d75%26page%3d2&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000302948100007&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=75&recid=WOS:000302948100007&PREC_REFCOUNT=33&fromRightPanel=true
