,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,418984100001,0303-2647,000275565500003,1467-5463,2010
2,418984100001,0303-2647,000268802500004,0302-9743(print),2009
3,418984100001,0303-2647,000189032600068,0027-8424,2004
4,418984100001,0303-2647,000229441500019,1367-4803,2005
5,418984100001,0303-2647,000390631700018,0303-2647,2016
6,418984100001,0303-2647,000174426900005,1066-5277,2002
7,418984100001,0303-2647,000291464800001,1471-2105,2011
8,418984100001,0303-2647,000259402800011,1471-0072,2008
9,418984100001,0303-2647,000338059400001,1748-670X,2014
10,418984100001,0303-2647,000314444300005,0303-2647,2013
11,418984100001,0303-2647,000255775700021,1093-9946,2008
12,418984100001,0303-2647,000235700500001,1471-2105,2006
13,418984100001,0303-2647,000250516700012,1545-5963,2007
14,418984100001,0303-2647,000305614600009,1471-003X,2012
15,418984100001,0303-2647,000295428400010,0024-3205,2011
16,418984100001,0303-2647,000182677900011,1465-6914,2003
17,418984100002,0303-2647,A1989U111600027,0036-8075,1989
18,418984100002,0303-2647,000273396000011,1742-464X,2010
19,418984100002,0303-2647,000306322700029,2159-8274,2012
20,418984100002,0303-2647,A1997YH13200005,0022-3417,1997
21,418984100002,0303-2647,000246603600015,0950-9232,2007
22,418984100002,0303-2647,000229091400024,1470-2045,2005
23,418984100002,0303-2647,000084722600005,0092-8674,2000
24,418984100002,0303-2647,000228465800013,0950-9232,2005
25,418984100002,0303-2647,000248472100023,0027-8424,2007
26,418984100002,0303-2647,000295187200002,0006-2960,2011
27,418984100002,0303-2647,000086213000005,0014-2956,2000
28,418984100002,0303-2647,000246603600011,0950-9232,2007
29,418984100002,0303-2647,A1992JA43100017,0092-8674,1992
30,418984100002,0303-2647,000224327000012,0022-5193,2004
31,418984100002,0303-2647,000234036100001,0264-6021,2005
32,418984100002,0303-2647,000233216600004,0964-6906,2005
33,418984100002,0303-2647,A1993MD89300007,0265-9247,1993
34,418984100002,0303-2647,000299092400009,1472-8222,2012
35,418984100002,0303-2647,000178352600005,1535-6108,2002
36,418984100002,0303-2647,A1989AW74500034,0036-8075,1989
37,418984100002,0303-2647,000280703800009,0143-3334,2010
38,418984100003,0303-2647,000316695700013,1367-4803,2013
39,418984100003,0303-2647,A1987L083600015,0022-2836,1987
40,418984100003,0303-2647,000350210400154,0305-1048,2015
41,418984100003,0303-2647,000273534300001,1471-2105,2009
42,418984100003,0303-2647,000396575500054,0305-1048,2017
43,418984100003,0303-2647,000325997500014,1367-4803,2013
44,418984100003,0303-2647,000305340000012,1932-6203,2012
45,418984100003,0303-2647,000356625700058,1367-4803,2015
46,418984100003,0303-2647,000245214900006,1535-9476,2007
47,418984100003,0303-2647,A1987J853400011,0022-2844,1987
48,418984100003,0303-2647,000240238600011,1088-9051,2006
49,418984100003,0303-2647,000270804900031,1553-7366,2009
50,418984100003,0303-2647,000342912400014,1367-4803,2014
51,418984100003,0303-2647,000173159300044,0028-0836,2002
52,418984100003,0303-2647,000230273000024,1367-4803,2005
53,418984100003,0303-2647,000222273100018,0305-1048,2004
54,418984100003,0303-2647,000265601900059,1471-2105,2009
55,418984100003,0303-2647,000236954700005,1066-5277,2006
56,418984100003,0303-2647,000236350400036,0028-0836,2006
57,418984100003,0303-2647,000290334500008,1367-4803,2011
58,418984100003,0303-2647,000280332700009,1742-5689,2010
59,418984100003,0303-2647,000357425800016,1367-4803,2015
60,418984100003,0303-2647,000305694800004,1757-9694,2012
61,418984100003,0303-2647,000321746100051,1367-4803,2013
62,418984100003,0303-2647,000285831700050,0305-1048,2011
63,418984100003,0303-2647,000249416400010,1474-7596,2007
64,418984100003,0303-2647,000311902700013,1367-4803,2012
65,418984100003,0303-2647,000272033100004,1553-734X,2009
66,418984100003,0303-2647,000257689600020,0887-3585,2008
67,418984100003,0303-2647,000081762700001,1076-9757,1999
68,418984100003,0303-2647,000321718700006,1932-6203,2013
69,418984100003,0303-2647,000343083600012,1367-4803,2014
70,418984100003,0303-2647,000227072900033,0027-8424,2005
71,418984100003,0303-2647,000262370200023,1548-7091,2009
72,418984100003,0303-2647,000259343000028,0027-8424,2008
73,418984100003,0303-2647,000232130200019,0092-8674,2005
74,418984100003,0303-2647,000263639700010,2335-6936,2009
75,418984100003,0303-2647,000358173500031,1367-4803,2015
76,418984100004,0303-2647,000331479700002,0303-2647,2014
77,418984100004,0303-2647,000331139800159,0305-1048,2014
78,418984100004,0303-2647,000325759800009,0968-0896,2013
79,418984100004,0303-2647,000273048500014,1671-4083,2009
80,418984100004,0303-2647,000316912800029,1054-2523,2013
81,418984100004,0303-2647,000282765000004,1742-206X,2010
82,418984100004,0303-2647,000311174800005,0022-2860,2012
83,418984100004,0303-2647,000371650900020,0223-5234,2016
84,418984100004,0303-2647,000089440000006,1093-3263,2000
85,418984100004,0303-2647,000354911200023,0022-2623,2015
86,418984100004,0303-2647,000241894000021,0022-2623,2006
87,418984100004,0303-2647,000358440000090,0968-0896,2015
88,418984100004,0303-2647,000306613900005,1549-9596,2012
89,418984100004,0303-2647,000319650800004,1549-9596,2013
90,418984100004,0303-2647,000366962500005,0303-2647,2015
91,418984100004,0303-2647,000323797700006,1549-9596,2013
92,418984100004,0303-2647,000348264200005,1046-2023,2015
93,418984100004,0303-2647,000371188400017,0010-4825,2016
94,418984100004,0303-2647,000167835400001,1056-8719,2000
95,418984100004,0303-2647,000318390500009,0304-3835,2013
96,418984100004,0303-2647,000287143500001,1021-7770,2011
97,418984100004,0303-2647,000306764600030,0022-2623,2012
98,418984100004,0303-2647,000305201000007,0010-4825,2012
99,418984100004,0303-2647,000361768700006,1735-207X,2015
100,418984100004,0303-2647,000381036200003,1747-0277,2016
101,418984100004,0303-2647,000263658200007,1549-9596,2009
102,418984100004,0303-2647,000320838000019,0010-4825,2013
103,418984100004,0303-2647,000317039000001,1758-2946,2013
104,418984100004,0303-2647,000284643100002,1381-6128,2010
105,418984100004,0303-2647,000292753000002,0031-7144,2011
106,418984100004,0303-2647,000262708300014,0968-0896,2009
107,418984100004,0303-2647,000339540800013,0022-2623,2014
108,418984100004,0303-2647,000348264200016,1046-2023,2015
109,418984100004,0303-2647,000227982800019,1549-9596,2005
110,418984100004,0303-2647,000278687600006,1359-6446,2010
111,418984100005,0303-2647,000244558700010,0950-9232,2007
112,418984100005,0303-2647,000261913700022,1544-9173,2008
113,418984100005,0303-2647,000189032600008,0027-8424,2004
114,418984100005,0303-2647,000235235600009,0006-3495,2006
115,418984100005,0303-2647,000372326800010,1097-2765,2016
116,418984100005,0303-2647,000328841700038,0021-9258,2013
117,418984100005,0303-2647,000227302700017,1474-175X,2005
118,418984100005,0303-2647,000246811700022,0006-3495,2007
119,418984100005,0303-2647,000250802700024,0014-5793,2007
120,418984100005,0303-2647,000362213500007,1465-7392,2015
121,418984100005,0303-2647,000226905200008,1097-2765,2005
122,418984100005,0303-2647,000261377400041,0036-8075,2008
123,418984100005,0303-2647,000260503900015,1932-6203,2008
124,418984100005,0303-2647,000314362800021,0092-8674,2013
125,418984100005,0303-2647,000329024200012,1471-0072,2014
126,418984100005,0303-2647,000302436700005,0303-2647,2012
127,418984100005,0303-2647,000356166900001,1350-9047,2015
128,418984100005,0303-2647,000369183400008,1474-175X,2016
129,418984100005,0303-2647,000287205700069,0036-8075,2011
130,418984100005,0303-2647,000223453600091,0021-9258,2004
131,418984100005,0303-2647,000251359600001,0303-2647,2007
132,418984100005,0303-2647,000315526100001,1744-4292,2013
133,418984100005,0303-2647,000224380700008,0022-1007,2004
134,418984100005,0303-2647,000268096200011,1471-0048,2009
135,418984100005,0303-2647,000260252600037,0028-0836,2008
136,418984100005,0303-2647,000229141200019,0026-895X,2005
137,418984100005,0303-2647,000333968900008,0092-8674,2014
138,418984100005,0303-2647,000222992100029,0036-8075,2004
139,418984100005,0303-2647,000264428800005,1932-6203,2008
140,418984100005,0303-2647,000286492100012,0022-5193,2011
141,418984100005,0303-2647,000233647600042,0022-1767,2005
142,418984100005,0303-2647,000380813300009,1474-175X,2016
143,418984100005,0303-2647,000260375500013,0071-1365(print),2008
144,418984100005,0303-2647,000320770200008,1474-175X,2013
145,418984100005,0303-2647,000363213400025,0036-8075,2015
146,418984100005,0303-2647,000360385700006,1474-175X,2015
147,418984100005,0303-2647,000289230800009,1001-0602,2011
148,418984100005,0303-2647,000240867500009,1553-734X,2006
149,418984100005,0303-2647,000178353000007,1535-6108,2002
150,418984100005,0303-2647,000377752100082,1949-2553,2016
151,418984100005,0303-2647,000313739500012,0008-5472,2013
152,418984100005,0303-2647,000322447600016,1742-206X,2013
153,418984100005,0303-2647,000297387800005,1097-2765,2011
154,418984100005,0303-2647,000284902100027,0036-8075,2010
155,418984100005,0303-2647,000317264800008,1350-9047,2013
156,418984100005,0303-2647,000247911400019,0092-8674,2007
157,418984100005,0303-2647,000372940000007,0306-9877,2016
158,418984100005,0303-2647,000284902100045,0036-8075,2010
159,418984100005,0303-2647,000330082200008,1074-5521,2014
160,418984100005,0303-2647,000288543500011,0092-8674,2011
161,418984100005,0303-2647,000274862900019,0014-5793,2010
162,418984100005,0303-2647,000325168700011,1943-0264,2013
163,418984100005,0303-2647,000281192800011,1471-0072,2010
164,418984100005,0303-2647,000237671300030,0021-9258,2006
165,418984100005,0303-2647,000308785100045,0378-4371,2012
166,418984100005,0303-2647,000245913600011,0021-9525,2007
167,418984100005,0303-2647,000244069000072,0036-8075,2007
168,418984100005,0303-2647,000233666300009,0955-0674,2005
169,418984100005,0303-2647,000252231300012,1471-0072,2008
170,418984100005,0303-2647,000391813800005,2041-4889,2016
171,418984100005,0303-2647,000278133400040,0021-9258,2010
172,418984100005,0303-2647,000358656500012,0027-8424,2015
173,418984100006,0303-2647,000234112000004,0340-1022,2005
174,418984100006,0303-2647,000327450500009,1755-4330,2013
175,418984100006,0303-2647,000334657600028,0002-7863,2014
176,418984100006,0303-2647,A1968C697500009,0022-2836,1968
177,418984100006,0303-2647,A1995RK42700038,0036-8075,1995
178,418984100006,0303-2647,000168442500040,0002-7863,2001
179,418984100006,0303-2647,000333204000005,0169-6149,2013
180,418984100006,0303-2647,A1986A079600021,0028-0836,1986
181,418984100006,0303-2647,A1983RX39200029,0092-8674,1983
182,418984100006,0303-2647,000089241000042,0028-0836,2000
183,418984100006,0303-2647,000340427600044,2046-2069,2014
184,418984100006,0303-2647,000168862900032,0036-8075,2001
185,418984100006,0303-2647,A1985AYF9200009,0009-2541,1985
186,418984100006,0303-2647,A1982PQ46100017,0092-8674,1982
187,418984100006,0303-2647,000352724200059,1463-9262,2015
188,418984100006,0303-2647,000074717300019,0027-8424,1998
189,418984100006,0303-2647,000381428600008,1463-9076,2016
190,418984100006,0303-2647,000252276700007,0175-7571,2008
191,418984100006,0303-2647,A1982NA41800002,0037-0738,1982
192,418984100006,0303-2647,000181524000128,0021-9258,2003
193,418984100006,0303-2647,000173421300067,0021-9258,2002
194,418984100006,0303-2647,000082329100002,1380-6165,1998
