,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,417764000002,1868-1743,000286068400004,1108-4189,2010
2,417764000002,1868-1743,A1997YJ82800008,0167-739X,1997
3,417764000002,1868-1743,000356055200001,1758-2946,2015
4,417764000002,1868-1743,000170489900001,0885-6125,2001
5,417764000002,1868-1743,000208617000010,2157-6904,2011
6,417764000002,1868-1743,000303099900009,1359-6446,2012
7,417764000002,1868-1743,000174565600009,0363-9045,2002
8,417764000002,1868-1743,A1995RX35400003,0885-6125,1995
9,417764000002,1868-1743,A1995QM39900016,0092-8674,1995
10,417764000002,1868-1743,000330097200005,1549-9596,2013
11,417764000002,1868-1743,000277725100011,1860-7179,2010
12,417764000002,1868-1743,000229400300006,1087-0571,2005
13,417764000002,1868-1743,000236591200030,0968-0896,2006
14,417764000002,1868-1743,000172388000020,0014-2999,2001
15,417764000002,1868-1743,000224481900024,1367-4803,2004
16,417764000002,1868-1743,000251216500039,0095-2338,2007
17,417764000002,1868-1743,000243577400025,1549-9596,2007
18,417764000002,1868-1743,000354104900005,1756-8919,2015
19,417764000002,1868-1743,000184602900033,0960-894X,2003
20,417764000002,1868-1743,000291401700001,0007-1188,2011
21,417764000002,1868-1743,000369052800002,1758-2946,2016
22,417764000002,1868-1743,000335201200005,1549-9596,2014
23,417764000002,1868-1743,000352620100004,1868-1743,2015
24,417764000002,1868-1743,000254063300013,0192-8651,2008
25,417764000002,1868-1743,A1975AU09000022,0006-3002,1975
26,417764000002,1868-1743,000223949200002,0114-5916,2004
27,417764000002,1868-1743,000376144100006,0893-228X,2016
28,417764000002,1868-1743,000175523800012,1439-4227,2002
29,417764000002,1868-1743,000236176100043,0028-0836,2006
30,417764000002,1868-1743,000368864600019,1549-9596,2016
31,417764000002,1868-1743,000279069800007,1549-9596,2010
32,417764000002,1868-1743,000275521200015,1860-7179,2010
33,417764000002,1868-1743,000292570800007,0920-654X,2011
34,417764000002,1868-1743,000323797700015,1549-9596,2013
35,417764000002,1868-1743,000175920000034,0095-2338,2002
36,417764000002,1868-1743,000342058100006,0090-9556,2014
37,417764000002,1868-1743,000346768100009,1868-1743,2014
38,417764000002,1868-1743,000380864800028,1543-8384,2016
39,417764000002,1868-1743,000302186700031,1543-8384,2012
40,417764000002,1868-1743,000278967500019,1367-4803,2010
41,417764000002,1868-1743,000311461400005,1549-9596,2012
42,417764000002,1868-1743,000371613300021,2045-452X,2016
