,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,418828400002,1752-0509,000344234200027,0016-5085,2014
2,418828400002,1752-0509,000188470500043,0028-0836,2004
3,418828400002,1752-0509,000310598700035,0140-6736,2012
4,418828400002,1752-0509,000297698400001,1752-0509,2011
5,418828400002,1752-0509,000351914700012,0002-9270,2015
6,418828400002,1752-0509,000407324800036,0036-8075,2017
7,418828400002,1752-0509,000360984400001,0307-0565,2015
8,418828400002,1752-0509,000188098100017,0017-5749,2004
9,418828400002,1752-0509,000187634600001,0006-3592,2004
10,418828400002,1752-0509,000390956800001,0016-5085,2017
11,418828400002,1752-0509,000290094700013,1093-9946,2011
12,418828400002,1752-0509,000296424200010,0028-4793,2011
13,418828400002,1752-0509,000419458200013,2055-5008,2015
14,418828400002,1752-0509,000377382100019,1078-0998,2016
15,418828400002,1752-0509,000330533600005,0022-2275,2013
16,418828400002,1752-0509,000351671500026,1078-0998,2015
17,418828400002,1752-0509,000305279100019,0928-8244,2012
18,418828400002,1752-0509,000333098600016,1931-3128,2014
19,418828400002,1752-0509,000347650700001,1471-2105,2014
20,418828400002,1752-0509,000298950200052,0027-8424,2012
21,418828400002,1752-0509,000270537500059,0027-8424,2009
22,418828400002,1752-0509,000397023600078,2072-6643,2017
23,418828400002,1752-0509,000341233500009,0021-9193,2014
24,418828400002,1752-0509,000345709300003,1751-8849,2014
25,418828400002,1752-0509,000398677300012,2227-9717,2017
26,418828400002,1752-0509,000330857300007,1007-9327,2014
27,418828400002,1752-0509,000379015600030,0028-0836,2016
28,418828400002,1752-0509,000348637900003,0724-6145,2014
29,418828400002,1752-0509,000356101500017,1931-3128,2015
30,418828400002,1752-0509,000353507100012,1462-2912,2015
31,418828400002,1752-0509,000306495800013,1751-7362,2012
32,418828400002,1752-0509,A1993LW39900007,0163-2116,1993
33,418828400002,1752-0509,000347558300001,1752-0509,2014
34,418828400002,1752-0509,000322441500069,0027-8424,2013
35,418828400002,1752-0509,000245812700003,1364-5072,2007
36,418828400002,1752-0509,000294232600004,0065-2164,2011
37,418828400002,1752-0509,000347166500006,1863-2297,2015
38,418828400002,1752-0509,000274860200008,1096-7176,2010
39,418828400002,1752-0509,000375065700003,1088-0224,2016
40,418828400002,1752-0509,000355312400063,2150-7511,2015
41,418828400002,1752-0509,000280929800018,0022-5193,2010
42,418828400002,1752-0509,000322352400004,1521-6918,2013
43,418828400002,1752-0509,000368353900006,0147-9571,2015
44,418828400002,1752-0509,000189026000044,0028-0836,2004
45,418828400002,1752-0509,000383023900001,1752-0509,2016
46,418828400002,1752-0509,000320852100002,1751-7362,2013
47,418828400002,1752-0509,000347044300001,1664-8021,2014
48,418828400002,1752-0509,000346121000011,0267-1379,2015
49,418828400002,1752-0509,000288436600014,1740-1526,2011
50,418828400002,1752-0509,000074356300001,0006-3592,1998
51,418828400002,1752-0509,000181151200001,0021-9193,2003
52,418828400002,1752-0509,000363614100023,0066-4227(print),2015
53,418828400002,1752-0509,000314487200002,0958-1669,2013
54,418828400002,1752-0509,000401613500002,1752-0509,2017
55,418828400002,1752-0509,000318348300006,2049-632X,2013
56,418828400002,1752-0509,000323205500012,1740-1526,2013
57,418828400002,1752-0509,000306200300002,1535-3702,2012
58,418828400003,1752-0509,000316164800016,0916-8451,2013
59,418828400003,1752-0509,000224973500031,0021-9193,2004
60,418828400003,1752-0509,000177087600022,0950-382X,2002
61,418828400003,1752-0509,000259631900030,0021-9193,2008
62,418828400003,1752-0509,000085362900002,0305-1048,2000
63,418828400003,1752-0509,000183504500003,0098-3500,2003
64,418828400003,1752-0509,000222077500005,1092-2172,2004
65,418828400003,1752-0509,000229581800003,0950-382X,2005
66,418828400003,1752-0509,000257599600007,0021-9193,2008
67,418828400003,1752-0509,000401613300001,1752-0509,2017
68,418828400003,1752-0509,000261217900029,0021-9193,2008
69,418828400003,1752-0509,A1995RN69600005,0021-9193,1995
70,418828400003,1752-0509,A1995QL61200031,0021-9193,1995
71,418828400003,1752-0509,000077719700091,0021-9258,1998
72,418828400003,1752-0509,000178603100004,0968-0004,2002
73,418828400003,1752-0509,000246398900019,0950-382X,2007
74,418828400003,1752-0509,000232537100023,0950-382X,2005
75,418828400003,1752-0509,000352081000043,1553-734X,2015
76,418828400003,1752-0509,000346649900039,1553-7390,2014
77,418828400003,1752-0509,000240799500005,0166-8595,2006
