,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,WOS:000417054700001,0001-5342,WOS:000275643500001,0268-1064,2010
2,WOS:000417054700001,0001-5342,WOS:A1980LJ47800001,0007-4853,1980
3,WOS:000417054700001,0001-5342,WOS:A1957CGZ6000005,0031-8108,1957
4,WOS:000417054700001,0001-5342,WOS:000283911100024,0012-1649,2010
5,WOS:000417054700001,0001-5342,WOS:A1984TM32500003,0275-2565,1984
6,WOS:000417054700001,0001-5342,WOS:000367694100020,1435-9448,2016
7,WOS:000417054700001,0001-5342,WOS:000292639100042,1744-9561,2011
8,WOS:000417054700001,0001-5342,WOS:000252965500001,1010-061X,2008
9,WOS:000417054700001,0001-5342,WOS:000349761000003,0011-3204,2015
10,WOS:000417054700001,0001-5342,WOS:000395057300027,1069-9384,2017
11,WOS:000417054700001,0001-5342,WOS:A1997XK18800006,0012-1649,1997
12,WOS:000417054700001,0001-5342,WOS:A1987N561000089,0140-525X,1987
13,WOS:000417054700002,0001-5342,WOS:A1975AP61700016,0021-3640,1975
14,WOS:000417054700002,0001-5342,WOS:000233267500002,0016-7037,2005
15,WOS:000417054700002,0001-5342,WOS:A1989U857900019,1040-2519,1989
16,WOS:000417054700002,0001-5342,WOS:000370102700011,1529-6466,2016
17,WOS:000417054700002,0001-5342,WOS:000389090100152,0048-9697,2017
18,WOS:000417054700002,0001-5342,WOS:000225675400011,1435-8603,2004
19,WOS:000417054700002,0001-5342,WOS:000302421300015,0032-079X,2012
20,WOS:000417054700002,0001-5342,WOS:000316018800026,0168-2563,2013
21,WOS:000417054700002,0001-5342,WOS:A1976CF20300001,0022-0957,1976
22,WOS:000417054700002,0001-5342,WOS:A1974S622500003,0016-7037,1974
23,WOS:000417054700002,0001-5342,WOS:000168334400004,0018-8158,2001
24,WOS:000417054700002,0001-5342,WOS:000366643500008,0169-6149,2016
25,WOS:000417054700002,0001-5342,WOS:A1973O919700025,0022-3654,1973
26,WOS:000417054700002,0001-5342,WOS:000271367100003,0009-2541,2009
27,WOS:000417054700002,0001-5342,WOS:A1981LP76300001,0031-9422,1981
28,WOS:000417054700002,0001-5342,WOS:000168688000002,0140-7791,2001
29,WOS:000417054700002,0001-5342,WOS:000296378100025,0027-8424,2011
30,WOS:000417054700002,0001-5342,WOS:000273415400008,1811-5209,2009
31,WOS:000417054700002,0001-5342,WOS:000081292100005,0304-4203,1999
32,WOS:000417054700002,0001-5342,FORA DA BASE,"Nuclear, plasma and radiation science",2015
33,WOS:000417054700002,0001-5342,FORA DA BASE,"ISOTOPE EFFECTS IN THE CHEMICAL, GEOLOGICAL, AND BIO SCIENCES",2010
34,WOS:000407343600001,0001-5342,WOS:000340709500001,0305-0270,2013
35,WOS:000407343600001,0001-5342,WOS:A1971I830700003,0039-7989,1971
36,WOS:000407343600001,0001-5342,WOS:A1992KL24700003,1063-5157,1992
37,WOS:000407343600001,0001-5342,WOS:000290489100001,0305-0270,2011
38,WOS:000407343600001,0001-5342,WOS:000373154000011,0305-0270,2016
39,WOS:000407343600001,0001-5342,WOS:000239622500002,0305-0270,2006
40,WOS:000407343600001,0001-5342,WOS:000382144100002,0001-5342,2016
41,WOS:000407343600001,0001-5342,WOS:000315436200004,1175-5326,2013
42,WOS:000407343600001,0001-5342,WOS:000329202200002,1129-5767,2013
43,WOS:000407343600001,0001-5342,WOS:000352724700016,0378-2697,2015
44,WOS:000407343600001,0001-5342,WOS:000344695900007,1063-5157,2014
45,WOS:000407343600001,0001-5342,WOS:000231771900007,0024-4066,2005
46,WOS:000407343600001,0001-5342,WOS:000281210500016,0024-4066,2010
47,WOS:000407343600001,0001-5342,WOS:000334026700002,0305-0270,2014
48,WOS:000407343600001,0001-5342,WOS:000370372800001,0001-5342,2016
49,WOS:000407343600001,0001-5342,WOS:000348562900019,1932-6203,2015
50,WOS:000407343600001,0001-5342,WOS:000226472300008,0305-0270,2005
51,WOS:000407343600001,0001-5342,WOS:000233769000002,0014-3820,2005
52,WOS:000407343600001,0001-5342,WOS:A1997WZ11000009,1063-5157,1997
53,WOS:000407343600001,0001-5342,WOS:000270079100010,0962-1083,2009
54,WOS:000407343600001,0001-5342,WOS:000383536300005,0305-0270,2016
55,WOS:000407343600001,0001-5342,FORA DA BASE,Phytotaxa. Zool,2015
56,WOS:000407343600001,0001-5342,WOS:000226306600010,1063-5157,2004
57,WOS:000407343600001,0001-5342,WOS:000362842500007,0748-3007,2015
58,WOS:000407343600001,0001-5342,WOS:000328697500001,1030-1887,2013
59,WOS:000407343600001,0001-5342,WOS:000086553300001,0031-0182,2000
60,WOS:000407343600001,0001-5342,FORA DA BASE,NATURE OF CLASSIFICATION: RELATIONSHIPS AND KINDS IN THE NATURAL SCIENCES,2014
61,WOS:000407343600002,0001-5342,WOS:A1981MU14200002,0049-1241,1981
62,WOS:000407343600002,0001-5342,WOS:000220274500038,0031-8248,2003
63,WOS:000407343600002,0001-5342,WOS:A1949XW57200009,0014-3820,1949
64,WOS:000407343600002,0001-5342,WOS:A1969Y426100003,0003-1224,1969
65,WOS:000407343600002,0001-5342,WOS:000260860300005,0031-8248,2008
66,WOS:000407343600002,0001-5342,WOS:000077808200005,0031-8248,1998
67,WOS:000407343600002,0001-5342,WOS:000280823500007,0039-7857,2010
68,WOS:000407343600002,0001-5342,WOS:000169461000002,0169-5347,2001
69,WOS:000407343600002,0001-5342,WOS:000239981400010,0169-5347,2006
70,WOS:000407343600002,0001-5342,WOS:000174005600006,1471-4922,2002
71,WOS:000407343600002,0001-5342,WOS:000180926300001,1010-061X,2003
72,WOS:000407343600002,0001-5342,WOS:A1967ZC89200005,0031-8248,1967
73,WOS:000407343600002,0001-5342,WOS:A1996VF68900007,0031-8248,1996
74,WOS:000407343600002,0001-5342,FORA DA BASE,"Social Research Update, Summer",2001
75,WOS:000407343600002,0001-5342,FORA DA BASE,AMERICAN NATURALIST,1908
76,WOS:000407343600002,0001-5342,FORA DA BASE,Philos Sci Assoc,1980
77,WOS:000407343600002,0001-5342,FORA DA BASE,Stanford Encyclopedia of Philosophy,2010
78,WOS:000407343600002,0001-5342,FORA DA BASE,The units of evolution: essays on the nature of species,1992
79,WOS:000407343600002,0001-5342,FORA DA BASE,J General Philos Sci/Z allg,1993
80,WOS:000407343600002,0001-5342,WOS:000183292600009,0265-9247,2003
81,WOS:000407343600002,0001-5342,WOS:A1995QN01600006,0031-8248,1995
82,WOS:000407343600002,0001-5342,WOS:000243694700016,1567-1348,2007
83,WOS:000407343600002,0001-5342,WOS:000186204700001,0169-3867,2003
84,WOS:000407343600002,0001-5342,FORA DA BASE,J Paleontol,1969
85,WOS:000407343600002,0001-5342,FORA DA BASE,Species concepts and phylogenetic theory: a debate,2000
86,WOS:000407343600003,0001-5342,WOS:000302239100002,0001-5970,2012
87,WOS:000407343600003,0001-5342,WOS:000318974900009,1748-3182,2013
88,WOS:000407343600003,0001-5342,WOS:A1997XC08800010,1057-7157,1997
89,WOS:000407343600003,0001-5342,WOS:000088342800011,0887-8722,2000
90,WOS:000407343600003,0001-5342,WOS:000177855700014,0022-0949,2002
91,WOS:000407343600003,0001-5342,WOS:A1994NJ82700008,0302-4598,1994
92,WOS:000407343600003,0001-5342,WOS:A1993KU92400006,0022-1120,1993
93,WOS:000407343600003,0001-5342,WOS:000071880700015,0066-4189,1998
94,WOS:000407343600003,0001-5342,WOS:000084104600010,1522-2152,1999
95,WOS:000407343600003,0001-5342,WOS:000378771100005,0001-5342,2016
96,WOS:000407343600003,0001-5342,WOS:000260165100016,0022-0949,2008
97,WOS:000407343600003,0001-5342,WOS:000281509700010,1569-9048,2010
98,WOS:000407343600003,0001-5342,WOS:000262829800001,1613-4982,2009
99,WOS:000407343600003,0001-5342,WOS:000335583500024,0022-0949,2014
