,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,WOS:000418044500001,1662-5188,WOS:000418783200016,0042-6989,2017
2,WOS:000418044500001,1662-5188,WOS:000272463200004,0022-3077,2009
3,WOS:000418044500001,1662-5188,WOS:A1984SY18500004,0014-4819,1984
4,WOS:000418044500001,1662-5188,WOS:000233667500010,0006-8950,2005
5,WOS:000418044500001,1662-5188,WOS:000167375400011,0031-5117,2001
6,WOS:000418044500001,1662-5188,WOS:A1992GX79100045,0036-8075,1992
7,WOS:000418044500001,1662-5188,WOS:000358918000001,1662-5153,2015
8,WOS:000418044500001,1662-5188,WOS:000360350900001,0922-6028,2015
9,WOS:000418044500001,1662-5188,WOS:A1996VD97200020,0022-3077,1996
10,WOS:000418044500001,1662-5188,WOS:000332003300017,0014-4819,2014
11,WOS:000418044500001,1662-5188,WOS:A1986G474600020,0014-4819,1986
12,WOS:000418044500001,1662-5188,WOS:A1984SY18500005,0014-4819,1984
13,WOS:000418044500001,1662-5188,WOS:000231756000010,0898-929X,2005
14,WOS:000418044500001,1662-5188,WOS:000172605300021,0007-1161,2001
15,WOS:000418044500001,1662-5188,WOS:000234623200001,0301-0082,2005
16,WOS:000418044500001,1662-5188,WOS:000376350500001,1662-5137,2016
17,WOS:000418044500001,1662-5188,WOS:000223246300023,0147-006X,2004
18,WOS:000418044500001,1662-5188,WOS:000167141700022,0896-6273,2001
19,WOS:000418044500001,1662-5188,WOS:000286327900006,0962-8436,2011
20,WOS:000418044500001,1662-5188,WOS:000081348400010,1380-3395,1999
21,WOS:000418044500001,1662-5188,WOS:000187421300029,0079-6123,2004
22,WOS:000418044500001,1662-5188,WOS:A1987G259400002,0022-3077,1987
23,WOS:000418044500001,1662-5188,WOS:A1987G259400003,0022-3077,1987
24,WOS:000418044500001,1662-5188,WOS:000355540100001,2041-1723,2015
25,WOS:000418044500001,1662-5188,WOS:000261631100006,0278-2626,2008
26,WOS:000418044500001,1662-5188,WOS:000352083900036,1932-6203,2015
27,WOS:000418044500001,1662-5188,WOS:000323892300008,0147-006X(print),2013
28,WOS:000418044500001,1662-5188,WOS:000165268100017,0166-2236,2000
29,WOS:000418044500001,1662-5188,WOS:000306191800021,0022-3077,2012
30,WOS:000418044500001,1662-5188,FORA DA BASE,Theoretical Neuroscience,2001
31,WOS:000418044500001,1662-5188,WOS:000253489800025,0006-8950,2008
32,WOS:000418044500001,1662-5188,WOS:000326520600001,2314-6133,2013
33,WOS:000418044500001,1662-5188,WOS:000259846600004,0893-6080,2008
34,WOS:000418044500001,1662-5188,WOS:000387194200011,0028-3932,2016
35,WOS:000418044500001,1662-5188,WOS:000307284100112,1932-6203,2012
36,WOS:000418044500001,1662-5188,WOS:000235159100011,0079-6123,2006
37,WOS:000418044500001,1662-5188,WOS:000261631100005,0278-2626,2008
38,WOS:000418044500001,1662-5188,WOS:A1986E026400005,0022-3077,1986
39,WOS:000418044500001,1662-5188,WOS:000315182800045,1932-6203,2013
40,WOS:000418044500001,1662-5188,WOS:000180135500006,0079-6123,2002
41,WOS:000418044500001,1662-5188,WOS:000334922700001,1662-5188,2013
42,WOS:000418044500001,1662-5188,WOS:000174511000118,0027-8424,2002
43,WOS:000418044500001,1662-5188,WOS:000169465900014,0304-3940,2001
44,WOS:000418044500001,1662-5188,WOS:A1994PW52900003,0340-1200,1994
45,WOS:000418044500001,1662-5188,WOS:000223896400018,0022-3050,2004
46,WOS:000418044500001,1662-5188,WOS:000263815300028,0028-3932,2009
47,WOS:000418044500001,1662-5188,WOS:000303954900047,0028-3932,2012
48,WOS:000418044500001,1662-5188,WOS:000228685200001,0922-6028,2004
49,WOS:000418044500001,1662-5188,WOS:000255847400009,0301-0066,2008
50,WOS:000418044500001,1662-5188,WOS:000179600100014,1471-003X,2002
51,WOS:000418044500001,1662-5188,WOS:A1986AXZ2600004,0031-9333,1986
52,WOS:000418044500001,1662-5188,WOS:000176726700009,0042-6989,2002
53,WOS:000418044500001,1662-5188,WOS:000352139000075,1932-6203,2015
54,WOS:000418044500001,1662-5188,WOS:000353169900008,2213-4794,2015
55,WOS:000418044500001,1662-5188,WOS:000312118600006,0042-6989,2012
56,WOS:000418044500001,1662-5188,WOS:000278960200005,0042-6989,2010
57,WOS:000418044500001,1662-5188,FORA DA BASE,Reviews of oculomotor research,1989
58,WOS:000417583100001,1662-5188,WOS:A1991FG59600004,0306-4522,1991
59,WOS:000417583100001,1662-5188,WOS:000344368700014,0003-3022,2014
60,WOS:000417583100001,1662-5188,WOS:000185403000007,0959-4388,2003
61,WOS:000417583100001,1662-5188,WOS:000260674100030,0036-8075,2008
62,WOS:000417583100001,1662-5188,WOS:A19646775B00002,0022-3751,1964
63,WOS:000417583100001,1662-5188,WOS:000235560500015,0003-2999,2006
64,WOS:000417583100001,1662-5188,WOS:000277985800019,1047-3211,2010
65,WOS:000417583100001,1662-5188,WOS:000304197000010,1471-003X,2012
66,WOS:000417583100001,1662-5188,WOS:000183008300009,0028-4793,2003
67,WOS:000417583100001,1662-5188,WOS:000233317100023,0022-3077,2005
68,WOS:000417583100001,1662-5188,WOS:000294666900014,0270-6474,2011
69,WOS:000417583100001,1662-5188,WOS:000274136100010,0896-6273,2010
70,WOS:000417583100001,1662-5188,WOS:000322092000028,0304-3940,2013
71,WOS:000417583100001,1662-5188,WOS:000350086300019,0007-0912,2015
72,WOS:000417583100001,1662-5188,WOS:A19656965400012,0003-3022,1965
73,WOS:000417583100001,1662-5188,WOS:A1985ASW1900010,0006-2960,1985
74,WOS:000417583100001,1662-5188,WOS:A1996UA37700028,0003-3022,1996
75,WOS:000417583100001,1662-5188,WOS:A1993LM85700008,0007-0912,1993
76,WOS:000417583100001,1662-5188,WOS:000235087400010,0007-1188,2006
77,WOS:000417583100001,1662-5188,WOS:000275517500002,1570-159X,2010
78,WOS:000417583100001,1662-5188,WOS:000241116700008,1381-6128,2006
79,WOS:000417583100001,1662-5188,WOS:000225250500012,0007-0912,2004
80,WOS:000417583100001,1662-5188,WOS:000271853500008,0014-2999,2009
81,WOS:000417583100001,1662-5188,WOS:000298096900001,0953-816X,2011
82,WOS:000417583100001,1662-5188,WOS:000346419000001,1662-453X,2014
83,WOS:000417583100001,1662-5188,WOS:000074710800020,0003-3022,1998
84,WOS:000417583100001,1662-5188,WOS:000296224000007,0896-6273,2011
85,WOS:000417583100001,1662-5188,WOS:000226755300028,0003-3022,2005
86,WOS:000417583100001,1662-5188,WOS:000073664400003,0306-4522,1998
87,WOS:000417583100001,1662-5188,FORA DA BASE,bioRxiv,2017
88,WOS:000417583100001,1662-5188,WOS:000329797900010,0003-3022,2013
89,WOS:000417583100001,1662-5188,WOS:000295966900011,1932-6203,2011
90,WOS:000417583100001,1662-5188,WOS:000328846900004,0090-2977,2013
91,WOS:000417583100001,1662-5188,WOS:000257635400028,0022-3077,2008
92,WOS:000417583100001,1662-5188,WOS:000312536800011,0003-3022,2013
93,WOS:000417583100001,1662-5188,WOS:000312536800005,0003-3022,2013
94,WOS:000417583100001,1662-5188,WOS:000279581700008,0270-6474,2010
95,WOS:000417583100001,1662-5188,WOS:000251148100003,0168-0102,2007
96,WOS:000417583100001,1662-5188,WOS:000292408200020,0028-3908,2011
97,WOS:000417583100001,1662-5188,WOS:000389134400012,0003-3022,2016
98,WOS:000417583100001,1662-5188,WOS:000223627700014,1471-0048,2004
99,WOS:000417583100001,1662-5188,WOS:A1996VL11700001,0022-3077,1996
100,WOS:000417583100001,1662-5188,WOS:000088973700042,0003-2999,2000
101,WOS:000417583100001,1662-5188,WOS:000308790600001,1662-5110,2012
102,WOS:000417583100001,1662-5188,WOS:000202939900002,1744-8069,2005
103,WOS:000417583100001,1662-5188,WOS:000235053000016,0953-816X,2006
104,WOS:000417583100001,1662-5188,WOS:000227701600013,0022-3077,2005
105,WOS:000417583100001,1662-5188,WOS:A1997XP60800008,1047-3211,1997
106,WOS:000417583100001,1662-5188,FORA DA BASE,FRONTIERS IN SYSTEMS NEUROSCIENCE,2014
107,WOS:000417583100001,1662-5188,FORA DA BASE,FRONTIERS IN SYSTEMS NEUROSCIENCE,2014
108,WOS:000417583100001,1662-5188,FORA DA BASE,FRONTIERS IN SYSTEMS NEUROSCIENCE,2014
