,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,419414200001,0025-5564,000260301800024,0006-4971,2008
2,419414200001,0025-5564,000335920000003,0008-5472,2014
3,419414200001,0025-5564,A1996VX74600014,0046-8177,1996
4,419414200001,0025-5564,000292371800005,0951-6433,2011
5,419414200001,0025-5564,A1991FU00500001,0888-8809,1991
6,419414200001,0025-5564,A1981ML32800011,0002-9343,1981
7,419414200001,0025-5564,000087014700008,0046-8177,2000
8,419414200001,0025-5564,000306447700005,0022-5193,2012
9,419414200001,0025-5564,000339879100010,0167-7659,2014
10,419414200001,0025-5564,000379566200001,2045-2322,2016
11,419414200001,0025-5564,A1996UX15200074,0022-5347,1996
12,419414200001,0025-5564,000288318400001,0021-9533,2011
13,419414200001,0025-5564,000257768300036,0008-5472,2008
14,419414200001,0025-5564,000176286000032,0021-9258,2002
15,419414200001,0025-5564,000226089400005,0021-9541,2005
16,419414200001,0025-5564,000229103000013,1534-5807,2005
17,419414200001,0025-5564,000341821600003,0895-3988,2014
18,419414200001,0025-5564,000083386600009,0950-1991,1999
19,419414200001,0025-5564,000356053300009,1535-6108,2015
20,419414200001,0025-5564,A1997XT05400013,0022-4790,1997
21,419414200001,0025-5564,000258912500004,0270-4137,2008
22,419414200001,0025-5564,000263572100006,0884-0431,2009
23,419414200001,0025-5564,000188426000008,0884-0431,2004
24,419414200001,0025-5564,000230279600008,0001-527X,2005
25,419414200001,0025-5564,000271907700025,1081-0706,2009
26,419414200001,0025-5564,000237259700012,0021-9738,2006
27,419414200001,0025-5564,000307493300004,1759-4812,2012
28,419414200001,0025-5564,A1997WM78600016,8756-3282,1997
29,419414200001,0025-5564,000260443300006,0020-7136,2008
30,419414200001,0025-5564,000226109500011,1474-175X,2005
31,419414200001,0025-5564,000081936400005,0009-9147,1999
32,419414200001,0025-5564,A1997YA66800037,0006-291X,1997
33,419414200001,0025-5564,000251963400010,0923-7534,2007
34,419414200001,0025-5564,000257928300004,8756-3282,2008
35,419414200001,0025-5564,000265134200010,1932-6203,2008
36,419414200001,0025-5564,000342857800021,1433-6510,2014
37,419414200001,0025-5564,A1993KQ38100017,0008-543X,1993
38,419414200001,0025-5564,A1997WU88800017,0092-8674,1997
39,419414200001,0025-5564,000243951000001,0002-9440,2007
40,419414200001,0025-5564,000244977500007,1464-4096,2007
41,419414200001,0025-5564,000294251800013,1932-6203,2011
42,419414200001,0025-5564,000232272700009,0027-8874,2005
43,419414200001,0025-5564,000073810700005,0302-2838,1998
44,419414200001,0025-5564,000227140500009,0006-291X,2005
45,419414200001,0025-5564,000266006100015,0887-6924,2009
46,419414200002,0025-5564,000240746600059,0027-8424,2006
47,419414200002,0025-5564,000382215700015,1473-3099,2016
48,419414200002,0025-5564,000392158100049,1935-2735,2016
49,419414200002,0025-5564,000309242600008,0036-4665,2012
50,419414200002,0025-5564,000317984400041,0028-0836,2013
51,419414200002,0025-5564,000253365100004,0025-5564,2008
52,419414200002,0025-5564,000382872200008,1807-5932,2016
53,419414200002,0025-5564,000343004000025,0140-6736,2014
54,419414200002,0025-5564,000354282700001,1664-3224,2014
55,419414200002,0025-5564,000306887900046,0048-9697,2012
56,419414200002,0025-5564,000260386000004,0074-0276,2008
57,419414200002,0025-5564,000312201900058,1932-6203,2012
58,419414200002,0025-5564,000239135700009,0096-3003,2006
59,419414200002,0025-5564,000324444200030,0264-410X,2013
60,419414200002,0025-5564,000180874000003,0303-6812,2003
61,419414200002,0025-5564,000074388000003,0025-5564,1998
62,419414200002,0025-5564,000235843200010,1360-2276,2006
63,419414200002,0025-5564,000078189200086,0027-8424,1999
64,419414200002,0025-5564,000276312200031,1935-2727,2010
65,419414200002,0025-5564,000368371400006,0098-7484,2016
