,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,414981900001,1751-8849,000297265301204,0271-4302,2011
2,414981900001,1751-8849,000296337500036,0022-5223,2011
3,414981900001,1751-8849,000351285800005,0391-3988,2015
4,414981900001,1751-8849,000334209800001,1537-744X,2014
5,414981900001,1751-8849,000351091200022,2168-2194,2015
6,414981900001,1751-8849,000263325000006,1055-8586,2008
7,414981900001,1751-8849,000374783800003,1751-8822,2016
8,414981900001,1751-8849,000251297600020,1565-1339,2007
9,414981900001,1751-8849,000347747700027,0513-5796,2015
10,414981900001,1751-8849,000317461000050,1935-0090,2013
11,414981900001,1751-8849,000246546500010,0960-0779,2007
12,414981900001,1751-8849,000311978200004,0267-6591,2012
13,414981900001,1751-8849,000227011400138,1063-9667,2005
14,414981900001,1751-8849,A1991GJ75500004,1045-9227,1991
15,414981900001,1751-8849,000309996400006,1569-9293,2011
16,414981900001,1751-8849,000310459300017,1751-8822,2012
17,414981900002,1751-8849,000294648200005,0960-0779,2011
18,414981900002,1751-8849,000258868600021,1549-7747,2008
19,414981900002,1751-8849,000350524900008,0925-2312,2015
20,414981900002,1751-8849,A1995TC34800002,0022-0396,1995
21,414981900002,1751-8849,A1995TC34800003,0022-0396,1995
22,414981900002,1751-8849,000310581400004,1007-5704,2013
23,414981900002,1751-8849,000246390900024,0924-090X,2007
24,414981900002,1751-8849,000258763600011,1083-4419,2008
25,414981900002,1751-8849,000253172700018,0022-247X,2008
26,414981900002,1751-8849,000309318200016,0925-2312,2012
27,414981900002,1751-8849,000186131800001,1201-3390,2003
28,414981900002,1751-8849,000226892900001,0167-2789,2005
29,414981900002,1751-8849,000278768800007,1468-1218,2010
30,414981900002,1751-8849,000276926800002,0022-247X,2010
31,414981900002,1751-8849,000370150800007,1866-9956,2016
32,414981900002,1751-8849,000354417700002,1631-0691,2015
33,414981900002,1751-8849,000349117900014,0020-7160,2015
34,414981900002,1751-8849,000281005300009,0893-6080,2010
35,414981900002,1751-8849,000363721300002,1370-4621,2015
36,414981900002,1751-8849,000334252000004,0924-090X,2014
37,414981900002,1751-8849,000254368500019,1468-1218,2008
38,414981900002,1751-8849,000269190000049,0960-0779,2009
39,414981900002,1751-8849,000356987000018,0925-2312,2015
40,414981900002,1751-8849,000371878200002,0096-3003,2016
41,414981900003,1751-8849,000277186400007,1532-4435,2010
42,414981900003,1751-8849,000312889900024,0305-1048,2013
43,414981900003,1751-8849,000228040000021,1061-4036,2005
44,414981900003,1751-8849,000250673700002,1467-5463,2007
45,414981900003,1751-8849,000174426900005,1066-5277,2002
46,414981900003,1751-8849,000281908700011,1740-1526,2010
47,414981900003,1751-8849,000242362900010,1057-7149,2006
48,414981900003,1751-8849,000245243100007,1544-9173,2007
49,414981900003,1751-8849,000256977000005,1465-4644,2008
50,414981900003,1751-8849,000165512600017,1066-5277,2000
51,414981900003,1751-8849,000299414200009,1367-4803,2012
52,414981900003,1751-8849,000308347000042,0028-0836,2012
53,414981900003,1751-8849,000319799900115,1932-6203,2013
54,414981900003,1751-8849,000315779500001,1752-0509,2012
55,414981900003,1751-8849,000264693500011,0303-2647,2009
56,414981900003,1751-8849,000282210700002,1932-6203,2010
57,414981900003,1751-8849,000327746100003,0090-5364,2013
58,414981900003,1751-8849,000324830900007,0162-8828,2013
59,414981900003,1751-8849,000304053300012,1367-4803,2012
60,414981900003,1751-8849,000381263700029,1367-4803,2016
61,414981900003,1751-8849,000183199900008,0885-6125,2003
62,414981900003,1751-8849,000383346100008,1553-734X,2016
63,414981900003,1751-8849,000400338000074,2046-2069,2017
64,414981900003,1751-8849,000250641700008,1088-9051,2007
65,414981900003,1751-8849,000179529200027,0021-9193,2002
66,414981900003,1751-8849,000277186400002,1532-4435,2010
67,414981900003,1751-8849,000271764000001,1471-2105,2009
68,414981900003,1751-8849,000307015700019,1548-7091,2012
69,414981900003,1751-8849,000276374400031,0027-8424,2010
70,414981900003,1751-8849,000236765200007,1471-2105,2006
71,414981900003,1751-8849,000262998200001,1471-2105,2008
72,414981900003,1751-8849,000335457700002,1532-4435,2014
73,414981900003,1751-8849,000271426600004,1088-9051,2009
74,414981900003,1751-8849,000265025700002,1063-5203,2009
