,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,413672400003,1431-7613,000360618400014,1545-7885,2015
2,413672400003,1431-7613,A1995RZ50400013,0014-3820,1995
3,413672400003,1431-7613,000322884800042,0036-8075,2013
4,413672400003,1431-7613,000334912000004,1751-7362,2014
5,413672400003,1431-7613,000258560700053,0027-8424,2008
6,413672400003,1431-7613,A1981LF73900007,0022-5193,1981
7,413672400003,1431-7613,A1975BF60100001,0022-362X,1975
8,413672400003,1431-7613,000225318500013,0066-4227,2004
9,413672400003,1431-7613,000072140300006,0302-8933,1998
10,413672400003,1431-7613,000084079300021,0016-6731,1999
11,413672400003,1431-7613,000321184500024,0014-3820,2013
12,413672400003,1431-7613,000361690700009,1471-0056,2015
13,413672400003,1431-7613,000288436600011,1740-1526,2011
14,413672400003,1431-7613,000328709900001,1139-6709,2013
15,413672400003,1431-7613,000247906700014,0962-8452,2007
16,413672400003,1431-7613,000209684200001,2050-084X,2014
17,413672400003,1431-7613,A1980KS51500013,0066-4162,1980
18,413672400003,1431-7613,000248171100014,1740-1526,2007
19,413672400003,1431-7613,A1968A936600013,0022-3921,1968
20,413672400003,1431-7613,000330851600009,1931-3128,2013
21,413672400003,1431-7613,000290997300003,1570-5838,2011
22,413672400003,1431-7613,000261345200005,0039-7857,2009
23,413672400003,1431-7613,000071744800055,0019-9567,1998
24,413672400003,1431-7613,000249525500028,1740-1526,2007
25,413672400003,1431-7613,000220627000008,0307-6946,2004
26,413672400003,1431-7613,000330616200006,1465-6906,2013
27,413672400003,1431-7613,000331817900020,1545-7885,2014
28,413672400003,1431-7613,000315841900016,0027-8424,2013
29,413672400003,1431-7613,000348452900011,0066-4227,2014
30,413672400003,1431-7613,A1992JK53600005,0303-2647,1992
31,413672400003,1431-7613,000388286500006,1431-7613,2016
32,413672400003,1431-7613,A1994NW94200002,0950-1991,1994
33,413672400003,1431-7613,000087635200008,1369-5274,2000
34,413672400003,1431-7613,000368443000004,1544-9173,2015
35,413672400003,1431-7613,000272084400007,0007-0882,2009
36,413672400003,1431-7613,A1991FQ15000002,0031-8248,1991
37,413672400003,1431-7613,000252742200033,0016-6731,2008
38,413672400003,1431-7613,000089067500075,0027-8424,2000
39,413672400003,1431-7613,A1992HL81600039,0027-8424,1992
40,413672400003,1431-7613,000266968900005,0894-0282,2009
41,413672400003,1431-7613,000276942600005,0012-1606,2010
42,413672400003,1431-7613,000247114100036,0027-8424,2007
43,413672400003,1431-7613,A1992KB19300001,0962-8452,1992
44,413672400003,1431-7613,000293916200005,0007-0882,2011
45,413672400003,1431-7613,A1993KF71800049,0028-0836,1993
46,413672400003,1431-7613,000408191200004,2379-5077,2016
47,413672400003,1431-7613,000180589000038,0027-8424,2003
48,413672400003,1431-7613,000187504900001,0025-3162,2004
49,413672400003,1431-7613,000360968400026,0036-8075,2015
50,413672400003,1431-7613,000234685200017,0066-4197,2005
51,413672400003,1431-7613,000258402300001,0168-6445,2008
52,413672400004,1431-7613,A1981ML45100008,0090-0656,1981
53,413672400004,1431-7613,000363948000069,0925-8574,2015
54,413672400004,1431-7613,000377798600023,1559-2723,2016
55,413672400004,1431-7613,000081222700005,0022-5193,1999
56,413672400004,1431-7613,000235318600008,0022-0949,2006
57,413672400004,1431-7613,000267197500005,0034-6861,2009
58,413672400004,1431-7613,000239836000025,0022-0949,2006
59,413672400004,1431-7613,000305863000012,0304-3800,2012
