,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,417745000001,1751-3758,000323629500001,0022-5193,2013
2,417745000001,1751-3758,000080019200008,0040-5809,1999
3,417745000001,1751-3758,A1996UB46400001,0040-5809,1996
4,417745000001,1751-3758,000265816200013,0012-9658,2009
5,417745000001,1751-3758,000293464300005,0092-8240,2011
6,417745000001,1751-3758,000235418400005,0030-1299,2006
7,417745000001,1751-3758,000185834300005,0040-5809,2003
8,417745000001,1751-3758,000278780700008,0003-6811,2010
9,417745000001,1751-3758,000320587300006,0003-0147,2013
10,417745000001,1751-3758,000355243600004,1751-3758,2015
11,417745000001,1751-3758,000365245800012,0022-5193,2015
12,417745000001,1751-3758,A1983RB61800006,0303-6812,1983
13,417745000001,1751-3758,000185147100003,0021-9002,2003
14,417745000001,1751-3758,000220108700019,0012-9658,2004
15,417745000001,1751-3758,000268196000008,1442-9985,2009
16,417745000001,1751-3758,000183969600001,0021-8790,2003
17,417745000001,1751-3758,000170125600007,0012-9658,2001
18,417745000001,1751-3758,A1986D376900009,0040-5809,1986
19,417745000001,1751-3758,000365111000007,0916-7005,2015
20,417745000001,1751-3758,000165589600003,0303-6812,2000
21,417745000001,1751-3758,000178719900001,0303-6812,2002
22,416924200001,1751-3758,000074008300032,1078-8956,1998
23,416924200001,1751-3758,000324397300006,1547-1063,2013
24,416924200001,1751-3758,000329497700003,1547-1063,2014
25,416924200001,1751-3758,000182781300003,0003-9926,2003
26,416924200001,1751-3758,000331496200047,0096-3003,2014
27,416924200001,1751-3758,000340316100016,0898-1221,2014
28,416924200001,1751-3758,000295165900012,0951-7715,2011
29,416924200001,1751-3758,000176675500008,0036-1399,2002
30,416924200001,1751-3758,000318616900008,0096-3003,2013
31,416924200001,1751-3758,000300889500014,0036-1399,2012
32,416924200001,1751-3758,A1989T391400007,0036-1410,1989
33,416924200001,1751-3758,000283222400001,1740-2522,2011
34,416924200001,1751-3758,000278780700009,0003-6811,2010
35,416924200001,1751-3758,A1997XV91800007,0036-1445,1997
36,416924200001,1751-3758,A1990CR67000003,0036-1445,1990
37,416924200001,1751-3758,000246630700006,0025-5564,2007
38,416924200001,1751-3758,000179220600004,0025-5564,2002
39,416924200001,1751-3758,000243850300005,1547-1063,2007
40,416924200001,1751-3758,A1988M021400030,0098-7484,1988
41,416924200001,1751-3758,000307845000002,0218-3390,2012
42,416924200001,1751-3758,000321935700009,1392-5113,2013
43,416924200001,1751-3758,000329497700011,1547-1063,2014
44,416924200001,1751-3758,000295062600005,0022-247X,2012
45,416924200002,1751-3758,000352560500008,0170-4214,2015
46,416924200002,1751-3758,000324579400049,0096-3003,2013
47,416924200002,1751-3758,000301008300027,1468-1218,2012
48,416924200002,1751-3758,000289743300030,0893-9659,2011
49,416924200002,1751-3758,000351562500007,1547-1063,2015
50,416924200002,1751-3758,000280595200009,0092-8240,2010
51,416924200002,1751-3758,000299761300009,0025-5564,2012
52,416924200002,1751-3758,000321040600010,0036-1399,2013
53,416924200002,1751-3758,000275621700010,0307-904X,2010
54,416924200002,1751-3758,000335900000012,0096-3003,2014
55,416924200002,1751-3758,000338734700029,0096-3003,2014
56,416924200002,1751-3758,000326850800005,0022-247X,2014
57,416924200002,1751-3758,000302992700034,0096-3003,2012
58,416924200002,1751-3758,000324249600006,0303-6812,2013
59,416924200002,1751-3758,000295995400050,1007-5704,2012
60,416924200002,1751-3758,000183937200011,0022-1317,2003
61,416924200002,1751-3758,000316579600066,0307-904X,2013
62,416924200002,1751-3758,000296794300019,1531-3492,2012
63,416924200002,1751-3758,000314802900011,1547-1063,2013
64,416924200002,1751-3758,000263372000045,0925-2312,2009
65,416924200002,1751-3758,000296213200021,0898-1221,2011
66,416924200002,1751-3758,000268716500017,1531-3492,2009
67,416923800001,1751-3758,A1997XH03400070,0027-8424,1997
68,416923800001,1751-3758,000254065400049,0022-538X,2007
69,416923800001,1751-3758,000085386700006,0029-8549,2000
70,416923800001,1751-3758,000282477000012,1999-4915,2010
71,416923800001,1751-3758,A1989T391400007,0036-1410,1989
72,416923800001,1751-3758,A1995QB06300049,0028-0836,1995
73,416923800001,1751-3758,000300889500002,0036-1399,2012
74,416923800001,1751-3758,000264559800044,0036-8075,2009
75,416923800001,1751-3758,000358623800028,0022-247X,2015
76,416923800001,1751-3758,000338833400015,0036-1399,2014
77,416923800001,1751-3758,000208083000011,1746-630X,2009
78,416923800001,1751-3758,000230693200004,1547-1063,2004
79,416923800001,1751-3758,A1997WF41700013,0022-5193,1997
80,416923800001,1751-3758,A1996VR79200057,0036-8075,1996
81,416923800001,1751-3758,A1993KM04100004,0025-5564,1993
82,416923800001,1751-3758,A1996TZ98300041,0036-8075,1996
83,416923800001,1751-3758,000079557300001,0036-1445,1999
84,416923800001,1751-3758,000173869200008,0962-8452,2002
85,416923800001,1751-3758,000243571100005,0269-9370,2007
86,416923800001,1751-3758,000246299200007,0036-1399,2007
87,416923800001,1751-3758,000260118500011,1740-1526,2008
88,416923800001,1751-3758,000280413800003,1999-4915,2010
89,416923800001,1751-3758,000294404300038,0028-0836,2011
90,416923800001,1751-3758,000243350100055,0022-538X,2007
91,415986000001,1751-3758,000381014200003,1751-3758,2016
92,415986000001,1751-3758,000326850800024,0022-247X,2014
