,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,WOS:000410465300001,0385-4035,WOS:000319017700021,0046-5755,2013
2,WOS:000410465300001,0385-4035,WOS:000259370800011,0021-2172,2008
3,WOS:000410465300001,0385-4035,WOS:000285399100002,0025-584X,2010
4,WOS:000410465300001,0385-4035,WOS:000172895500002,0022-2518,2001
5,WOS:000410465300001,0385-4035,WOS:A1974S076800003,0003-486X,1974
6,WOS:000410465300001,0385-4035,WOS:000077775200003,0025-584X,1998
7,WOS:000410465300001,0385-4035,WOS:000328903200012,1050-6926,2014
8,WOS:000410465300001,0385-4035,WOS:000307696600002,0040-8735,2012
9,WOS:000410465300001,0385-4035,WOS:A1954UL94400004,0003-486X,1954
10,WOS:000410465300001,0385-4035,WOS:A1995QR92300011,0025-584X,1995
11,WOS:000410465300001,0385-4035,WOS:000228947500012,0010-437X,2005
12,WOS:000410465300001,0385-4035,WOS:000249224700006,0002-9947,2007
13,WOS:000410465300001,0385-4035,WOS:000277820600005,0040-8735,2010
14,WOS:000410465300001,0385-4035,WOS:000316816900018,0017-0895,2013
15,WOS:000410465300001,0385-4035,WOS:000292158400001,0232-704X,2011
16,WOS:000410465300001,0385-4035,WOS:000332790500017,0046-5755,2014
17,WOS:000410465300001,0385-4035,WOS:000313870000032,1422-6383,2013
18,WOS:000410465300001,0385-4035,WOS:000309619600006,0026-2285,2012
19,WOS:000410465300001,0385-4035,FORA DA BASE,Contemp. Math.,2001
20,WOS:000410465300001,0385-4035,FORA DA BASE,Soochow J. Math.,1991
21,WOS:000410465300001,0385-4035,FORA DA BASE,CBMS REGIONAL C SERI,1983
22,WOS:000410465300001,0385-4035,FORA DA BASE,NOTE DI MATEMATICA,2010
23,WOS:000410465300001,0385-4035,FORA DA BASE,NOTE DI MATEMATICA,2008
24,WOS:000410465300001,0385-4035,FORA DA BASE,Colloq. Math.,2004
25,WOS:000410465300001,0385-4035,FORA DA BASE,Hokkaido Math. J.,1975
26,WOS:000410465300001,0385-4035,FORA DA BASE,Chinese Ann. Math. A,1986
27,WOS:000410465300001,0385-4035,FORA DA BASE,An. Stiint. Univ. Al. I. Cuza,2002
28,WOS:000410465300001,0385-4035,WOS:A1975V821500005,0025-5645,1975
29,WOS:000410465300001,0385-4035,FORA DA BASE,J. Differential Geom.,1978
30,WOS:000410465300002,0385-4035,WOS:000289746100007,0021-8693,2011
31,WOS:000410465300002,0385-4035,WOS:000167013200017,0021-8693,2001
32,WOS:000410465300002,0385-4035,WOS:000252928600001,0092-7872,2008
33,WOS:000410465300002,0385-4035,WOS:000237602900003,1431-0643,2006
34,WOS:000410465300002,0385-4035,WOS:000232081100007,0002-9939,2006
35,WOS:000410465300002,0385-4035,WOS:000234551800007,1431-0643,2005
36,WOS:000410465300002,0385-4035,WOS:A1972L448600001,0001-8708,1972
37,WOS:000410465300002,0385-4035,WOS:A1985ABF5800016,0021-8693,1985
38,WOS:000410465300002,0385-4035,WOS:A1984ACL1700001,0075-8434,1984
39,WOS:000410465300002,0385-4035,FORA DA BASE,Techniques of representation theory,2006
