,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,418706500002,1662-5196,000088692200010,1053-8119,2000
2,418706500002,1662-5196,000076526300001,1053-8119,1998
3,418706500002,1662-5196,A1996VJ71300047,0036-8075,1996
4,418706500002,1662-5196,000258806500024,0730-725X,2008
5,418706500002,1662-5196,000230676700014,0962-8436,2005
6,418706500002,1662-5196,A1995RZ70200001,0899-7667,1995
7,418706500002,1662-5196,A1995RX75100008,0740-3194,1995
8,418706500002,1662-5196,000295083300010,0270-6474,2011
9,418706500002,1662-5196,000318338300001,1662-5161,2013
10,418706500002,1662-5196,000314627800011,1053-8119,2013
11,418706500002,1662-5196,000280695200002,1053-8119,2010
12,418706500002,1662-5196,000295536000060,0027-8424,2011
13,418706500002,1662-5196,000257139500002,0077-8923(print),2008
14,418706500002,1662-5196,000222241600031,0036-8075,2004
15,418706500002,1662-5196,000171780100002,1065-9471,2001
16,418706500002,1662-5196,000256674400011,1065-9471,2008
17,418706500002,1662-5196,000269518900006,1089-7771,2009
18,418706500002,1662-5196,000316344000004,0033-3123,2013
19,418706500002,1662-5196,000276159500063,0027-8424,2010
20,418706500002,1662-5196,000242932200008,1364-6613,2006
21,418706500002,1662-5196,000189330500002,0165-0270,2004
22,418706500002,1662-5196,000173628300003,1065-9471,2002
23,418706500002,1662-5196,000208906100002,1687-5265,2011
24,418706500002,1662-5196,000254568000008,0167-8760,2008
25,418706500002,1662-5196,000297918500005,1065-9471,2011
26,418706500002,1662-5196,000285575200067,1932-6203,2010
27,418706500002,1662-5196,000402063000044,1932-6203,2017
28,418706500002,1662-5196,000276448500009,0951-7367,2010
29,418706500002,1662-5196,000248846200016,1471-003X,2007
30,418706500002,1662-5196,000244557800015,0002-953X,2007
31,418706500002,1662-5196,000180673200022,0959-4965,2002
32,418706500002,1662-5196,000275267500001,0169-0965,2010
33,418706500002,1662-5196,000180307100046,0027-8424,2003
34,418706500002,1662-5196,000177708700001,1065-9471,2002
35,418706500002,1662-5196,000377943800087,2076-1465,2015
36,418706500002,1662-5196,A1977DR01900030,0036-8075,1977
37,418706500002,1662-5196,000238704700002,1053-8119,2006
38,418706500002,1662-5196,000185415300085,0027-8424,2003
39,418706500002,1662-5196,000256674400004,1065-9471,2008
40,418706500002,1662-5196,000078883700005,0899-7667,1999
41,418706500002,1662-5196,000386087100018,0027-8424,2016
42,418706500002,1662-5196,000252957300258,1945-7928,2007
43,418706500002,1662-5196,000262397000021,1065-9471,2009
44,418706500002,1662-5196,000256632000033,0028-0836,2008
45,418706500002,1662-5196,000170740300032,0740-3194,2001
46,418706500002,1662-5196,000167049300004,0195-6108,2001
47,418706500002,1662-5196,000248650300039,0027-8424,2007
48,418706500002,1662-5196,000073916100005,1065-9471,1998
49,418706500002,1662-5196,000284724600001,0035-3787,2010
50,418706500002,1662-5196,000305279400006,0920-9964,2012
51,418706500002,1662-5196,000185746400013,1053-8119,2003
52,418706500002,1662-5196,000280695200001,1053-8119,2010
53,418706500002,1662-5196,000312400500018,0079-6123(print),2011
54,418706500002,1662-5196,000239807800016,0147-006X,2006
55,418706500002,1662-5196,000299491400031,0195-6108,2012
56,418706500002,1662-5196,000258695200032,1053-8119,2008
57,418706500002,1662-5196,000295260400038,1932-6203,2011
58,418706500002,1662-5196,000084003400048,0036-8075,1999
59,418706500002,1662-5196,000283184800061,0027-8424,2010
60,418706500002,1662-5196,000167928300014,1471-003X,2001
61,418706500002,1662-5196,000334012100009,1065-9471,2014
62,418706500002,1662-5196,000302926600015,1053-8119,2012
63,418706500002,1662-5196,000311420300026,0033-8419,2012
64,418706500001,1662-5196,A1995UL58700006,0952-3480,1995
65,418706500001,1662-5196,000300755200011,0010-9452,2012
66,418706500001,1662-5196,000249260200009,0740-3194,2007
67,418706500001,1662-5196,000238358500003,1053-8119,2006
68,418706500001,1662-5196,000288313800023,1053-8119,2011
69,418706500001,1662-5196,000209165300178,1662-453X,2012
70,418706500001,1662-5196,000394560600061,1053-8119,2017
71,418706500001,1662-5196,000305920600035,1053-8119,2012
72,418706500001,1662-5196,000286302000023,1053-8119,2011
73,418706500001,1662-5196,000394260000007,1539-2791,2017
74,418706500001,1662-5196,000312069000014,0028-3940,2012
75,418706500001,1662-5196,000331658400003,0930-1038,2014
76,418706500001,1662-5196,000180166100004,0952-3480,2002
77,418706500001,1662-5196,000250897700015,0278-0062,2007
78,418706500001,1662-5196,000346733400017,0920-9964,2015
79,418706500001,1662-5196,000230871900005,1011-2499,2005
80,418706500001,1662-5196,000373801400034,1863-2653,2016
81,418706500001,1662-5196,000335926500009,2168-622X,2014
82,418706500001,1662-5196,000322416000008,1053-8119,2013
83,418706500001,1662-5196,000178361000001,0740-3194,2002
84,418706500001,1662-5196,000345276400017,0022-3050,2014
85,418706500001,1662-5196,000283825000032,1053-8119,2011
86,418706500001,1662-5196,000276480200023,1053-8119,2010
87,418706500001,1662-5196,000349667800012,2213-1582,2014
88,418706500001,1662-5196,000358837700018,1932-6203,2015
89,418706500001,1662-5196,000240663600008,1361-8415,2006
90,418706500001,1662-5196,000280695200018,1053-8119,2010
91,418336200001,1662-5196,000302447200014,1057-7408,2012
92,418336200001,1662-5196,000251906900008,1053-5888,2008
93,418336200001,1662-5196,000359178800006,0022-2437,2015
94,418336200001,1662-5196,000317182100001,1662-5188,2013
