,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,WOS:000417109700014,2040-7939,WOS:000393963200005,2040-7939,2017
2,WOS:000417109700014,2040-7939,WOS:000387153300001,2040-7939,2016
3,WOS:000417109700014,2040-7939,WOS:000354024200003,0954-4119,2015
4,WOS:000417109700014,2040-7939,WOS:000276204600014,0090-6964,2010
5,WOS:000417109700014,2040-7939,WOS:A1954UE91100009,0002-9440,1954
6,WOS:000417109700014,2040-7939,WOS:000086755700005,0045-7930,2000
7,WOS:000417109700014,2040-7939,WOS:000305793100005,0148-0731,2012
8,WOS:000417109700014,2040-7939,WOS:000333010700001,0090-6964,2014
9,WOS:000417109700014,2040-7939,WOS:000358177900002,0174-1551,2015
10,WOS:000417109700014,2040-7939,WOS:A1991FM94100010,0360-3016,1991
11,WOS:000417109700014,2040-7939,WOS:000246046000004,0360-3016,2007
12,WOS:000417109700014,2040-7939,WOS:000274121500044,0360-3016,2010
13,WOS:000417109700014,2040-7939,WOS:A1989U375300001,0300-8428,1989
14,WOS:000417109700014,2040-7939,WOS:000305793100004,0148-0731,2012
15,WOS:000417109700014,2040-7939,WOS:A1972N745700001,0022-1120,1972
16,WOS:000417109700014,2040-7939,WOS:000269610300002,1051-0443,2009
17,WOS:000417109700014,2040-7939,WOS:000298327100030,0018-9294,2012
18,WOS:000417109700014,2040-7939,WOS:000239889100003,1051-0443,2006
19,WOS:000417109700014,2040-7939,FORA DA BASE,J Nucl Med Radiat Ther,2011
20,WOS:000417109700014,2040-7939,FORA DA BASE,J. Biomech. Eng.,2013
21,WOS:000417109700014,2040-7939,FORA DA BASE,Annali Italiani di Chirurgia,1992
22,WOS:000417109700004,2040-7939,WOS:000274237000021,0090-6964,2010
23,WOS:000417109700004,2040-7939,WOS:000319289200008,1617-7959,2013
24,WOS:000417109700004,2040-7939,WOS:000310736300010,1025-5842,2012
25,WOS:000417109700004,2040-7939,WOS:000306549400002,1059-9495,2012
26,WOS:000417109700004,2040-7939,WOS:000292749800005,1059-9495,2011
27,WOS:000417109700004,2040-7939,WOS:000279518900002,0261-3069,2010
28,WOS:000417109700004,2040-7939,WOS:000348085500020,0263-8223,2015
29,WOS:000417109700004,2040-7939,WOS:000305269800008,1555-1423,2012
30,WOS:000417109700004,2040-7939,WOS:000318127400026,0263-8223,2013
31,WOS:000417109700004,2040-7939,WOS:000281851500004,1025-5842,2010
32,WOS:000417109700004,2040-7939,WOS:000269257400004,1053-8119,2009
33,WOS:000417109700004,2040-7939,WOS:000269639800064,0031-9007,2009
34,WOS:000417109700004,2040-7939,WOS:000071599300002,0022-3093,1998
35,WOS:000417109700004,2040-7939,FORA DA BASE,J. Battlef. Technol.,2012
36,WOS:000417109700004,2040-7939,FORA DA BASE,MULTIDISCIPLINE MODELING IN MATERIALS AND STRUCTURES,2012
37,WOS:000417109700004,2040-7939,FORA DA BASE,MULTIDISCIPLINE MODELING IN MATERIALS AND STRUCTURES,2010
38,WOS:000417109700004,2040-7939,FORA DA BASE,Journal of the Institute of Explosives Engineers,2014
39,WOS:000417109700004,2040-7939,WOS:A1968C558000011,0077-8923,1968
40,WOS:000417109700004,2040-7939,WOS:000388490200002,1025-5842,2017
41,WOS:000417109700004,2040-7939,WOS:000345995000005,2040-7939,2014
42,WOS:000417109700004,2040-7939,WOS:A1971I699000001,0021-9290,1971
43,WOS:000417109700004,2040-7939,FORA DA BASE,International Journal for Numerical Methods in Biomedical Engineering,2016
44,WOS:000417109700004,2040-7939,FORA DA BASE,Emergency Medicine Practice,2006
45,WOS:000417109700004,2040-7939,FORA DA BASE,"Report for The DSO National Laboratories, Defence Medical and Environmental Research Institute (DMERI)",2012
46,WOS:000417109700004,2040-7939,FORA DA BASE,Journal of Biomechanical Engineering,2009
47,WOS:000417109700004,2040-7939,FORA DA BASE,MailOnline,2015
48,WOS:000417109700004,2040-7939,FORA DA BASE,Computer Methods in Biomechanics and Biomedical Engineering,2010
49,WOS:000417109700004,2040-7939,FORA DA BASE,Gels,2015
50,WOS:000417109700009,2040-7939,WOS:000330240600004,2040-7939,2013
51,WOS:000417109700009,2040-7939,WOS:000186491100007,0002-8703,2003
52,WOS:000417109700009,2040-7939,WOS:000319827400001,2040-7939,2013
53,WOS:000417109700009,2040-7939,WOS:000309396200005,2040-7939,2012
54,WOS:000417109700009,2040-7939,WOS:000289124200002,1350-4533,2011
55,WOS:000417109700009,2040-7939,WOS:000371749800015,0208-5216,2016
56,WOS:000417109700009,2040-7939,WOS:000348507400003,1509-409X,2014
57,WOS:000417109700009,2040-7939,WOS:000265474300005,1350-4533,2009
