,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,419472800001,1687-5265,000235747000022,0014-4886,2006
2,419472800001,1687-5265,A1985TZ37900003,0340-1200,1985
3,419472800001,1687-5265,000377369700139,1932-6203,2016
4,419472800001,1687-5265,000358778500002,1673-5374,2015
5,419472800001,1687-5265,000261996700027,0006-8950,2008
6,419472800001,1687-5265,000274761200017,0165-0270,2010
7,419472800001,1687-5265,000243483300029,0022-3085,2007
8,419472800001,1687-5265,000296927500012,0022-510X,2011
9,419472800001,1687-5265,000294430400004,1424-862X,2011
10,419472800001,1687-5265,000310356900006,1011-6125,2012
11,419472800001,1687-5265,000408528900001,2090-8083,2017
12,419472800001,1687-5265,000279473900014,0006-8950,2010
13,419472800001,1687-5265,000270996500010,0885-3185,2009
14,419473100001,1687-5265,000343852400024,0167-8655,2014
15,419473100001,1687-5265,000353350300009,0167-8655,2015
16,419473100001,1687-5265,000167366100008,0036-1445,2001
17,419473100001,1687-5265,000382273700028,0957-4174,2016
18,419473100001,1687-5265,000347986100002,2041-9139,2014
19,419473100001,1687-5265,000375170000015,0925-2312,2016
20,419473100001,1687-5265,000347753400035,0925-2312,2015
21,419473100001,1687-5265,000373789200068,1877-0509,2015
22,419473100001,1687-5265,000362510300030,1932-6203,2015
23,419473100001,1687-5265,000272607000024,0925-2312,2009
24,419473100001,1687-5265,000388777400044,0925-2312,2016
25,419473100001,1687-5265,000368199700006,1370-4621,2016
26,419473100001,1687-5265,000317418500038,1932-6203,2013
27,419473100001,1687-5265,000360308600093,1877-0509,2015
28,419473100001,1687-5265,000394688200008,1932-6203,2017
29,419473100001,1687-5265,000348366100006,1057-7149,2014
30,419473100001,1687-5265,000342248100043,0925-2312,2014
31,419473100001,1687-5265,000239807700019,1543-5008,2006
32,419473100001,1687-5265,000378191300011,0168-1699,2016
33,419473100001,1687-5265,000261846800002,0162-8828,2009
34,419473100001,1687-5265,000325712000034,1068-0314,2013
35,419473100001,1687-5265,000371388200037,2169-3536,2015
36,419473100001,1687-5265,000357246100022,0031-3203,2015
37,419026400001,1687-5265,000303281600043,0957-4174,2012
38,419026400001,1687-5265,000260529900010,1742-5468,2008
39,419026400001,1687-5265,000266851000002,0957-4174,2009
40,419026400001,1687-5265,000299979400014,0950-7051,2012
41,419026400001,1687-5265,000226299200018,1063-651X,2004
42,419026400001,1687-5265,000274500900001,0370-1573,2010
43,419026400001,1687-5265,000244229800037,0036-8075,2007
44,419026400001,1687-5265,000234873700023,0302-9743,2005
45,419026400001,1687-5265,000077976300004,1384-5810,1998
46,419026400001,1687-5265,000277552600002,0167-8655,2010
47,419026400001,1687-5265,000324663000028,0957-4174,2013
48,419026400001,1687-5265,A1982NF52800002,0018-9448,1982
49,419026400001,1687-5265,000232987900026,0378-4371,2005
50,419026400001,1687-5265,000240870300020,2470-0045,2006
51,419026400001,1687-5265,000220255500019,1063-651X,2004
52,419026400001,1687-5265,000243420500012,0162-8828,2007
53,419026400001,1687-5265,000234179600029,0302-9743,2005
54,419026400001,1687-5265,000249785900013,2470-0045,2007
55,419026400001,1687-5265,000239425700012,2470-0045,2006
56,419026400001,1687-5265,000252873900007,0027-8424,2008
57,419026200001,1687-5265,000263904900008,1751-8644,2009
58,419026200001,1687-5265,000314301400020,1598-6446,2013
59,419026200001,1687-5265,000266894200007,0021-8669,2009
60,419026200001,1687-5265,000180839300010,0022-4650,2003
61,419026200001,1687-5265,000174388700011,0731-5090,2002
62,419026200001,1687-5265,000352700900048,0018-9251,2015
63,419026200001,1687-5265,000256095900005,1741-5977,2008
64,419026200001,1687-5265,000366538500023,1270-9638,2015
65,419026200001,1687-5265,000234185500007,0167-6911,2006
66,419026200001,1687-5265,000071470900009,0731-5090,1998
67,419026200001,1687-5265,000231543800003,1063-6536,2005
68,419026200001,1687-5265,000080307400003,0731-5090,1999
69,419026200001,1687-5265,000087550600010,1063-6536,2000
70,419026200001,1687-5265,000351774700001,0020-7179,2015
71,419026200001,1687-5265,000352001000001,0954-4100,2015
72,419026200001,1687-5265,000362358800027,2162-237X,2015
73,419026200001,1687-5265,000321714000009,1751-8644,2013
74,419026200001,1687-5265,000223875900011,0731-5090,2004
75,419026200001,1687-5265,000388743900047,1392-8716,2016
76,419026200001,1687-5265,000340726000019,1392-8716,2014
77,419026700001,1687-5265,A1994NH76800009,1045-9227,1994
78,419026700001,1687-5265,000273092400001,1070-9908,2010
79,419026700001,1687-5265,000341571100013,1041-4347,2014
80,419026700001,1687-5265,A1997YA04500007,0899-7667,1997
81,419026700001,1687-5265,000355286600030,0028-0836,2015
82,419026700001,1687-5265,000300662500004,1041-4347,2012
83,419026700001,1687-5265,000263431900020,1053-587X,2009
84,419026700001,1687-5265,000187434500014,1053-587X,2004
85,419026700001,1687-5265,A1986A371800023,0162-1459,1986
86,419026000001,1687-5265,000358301800002,2168-2291,2015
87,419026000001,1687-5265,000255133600015,0748-7711,2008
88,419026000001,1687-5265,A1989AL89000005,0025-1909,1989
89,419026000001,1687-5265,A1989CC00400006,0276-7783,1989
90,419026000001,1687-5265,000285183000026,0022-3050,2011
91,419026000001,1687-5265,000372617600036,2169-3536,2016
92,419026000001,1687-5265,A1973Q012100032,0036-8075,1973
93,419026000001,1687-5265,000374654800004,1368-3500,2016
94,419026000001,1687-5265,000359029900020,0020-0255,2015
95,419026000001,1687-5265,000390131500005,1449-8596,2016
96,419026000001,1687-5265,000340436000009,2168-2291,2014
97,419026000001,1687-5265,000077884300003,0305-0483,1999
98,419026000001,1687-5265,000180484900006,0011-7315,2002
99,419026000001,1687-5265,000086130700002,0025-1909,2000
100,419026100001,1687-5265,000353455800073,2214-241X,2015
101,419026100001,1687-5265,000329145400006,0167-8655,2014
102,419026100001,1687-5265,000188464300081,0098-3063,2003
103,419026100001,1687-5265,000188464300082,0098-3063,2003
104,419026100001,1687-5265,000283591000001,1051-8215,2010
105,419026100001,1687-5265,000268033000059,0018-9456,2009
106,419026100001,1687-5265,000318014300015,1057-7149,2013
107,419026100001,1687-5265,000325223300002,1057-7149,2013
108,419026100001,1687-5265,000311802900008,1545-598X,2013
109,419026100001,1687-5265,000244669500116,0302-9743,2006
110,419026100001,1687-5265,000259367300061,0098-3063,2008
111,419026100001,1687-5265,A1997WR76700001,0098-3063,1997
112,419026100001,1687-5265,000306384200013,1350-4495,2012
113,419026100001,1687-5265,000395896500045,1568-4946,2017
114,419026100001,1687-5265,000247249300011,0167-8655,2007
115,419026100001,1687-5265,000329145400002,0167-8655,2014
116,419026100001,1687-5265,000234152300039,0098-3063,2005
117,419026100001,1687-5265,000341645200023,1559-128X,2014
118,419026100001,1687-5265,000400031600003,1568-4946,2017
119,419026100001,1687-5265,000348015800008,0045-7906,2014
120,419026100001,1687-5265,000378097800019,1300-0632,2016
121,419026100001,1687-5265,000257285300003,0098-3063,2008
122,419026100001,1687-5265,000285973700002,0932-8092,2011
123,419026100001,1687-5265,000234152300043,0098-3063,2005
124,419026100001,1687-5265,000079356000009,0098-3063,1999
125,419026100001,1687-5265,000308918200005,1751-9659,2012
126,419026100001,1687-5265,000221090100009,1001-9014,2004
127,419026100001,1687-5265,000305960300092,1875-3892,2012
128,418830700001,1687-5265,000299494000022,1053-8119,2012
129,418830700001,1687-5265,000089692500010,0730-725X,2000
130,418830700001,1687-5265,000254451300009,1056-4993,2008
131,418830700001,1687-5265,000167339600010,0003-990X,2001
132,418830700001,1687-5265,000178484700027,0098-7484,2002
133,418830700001,1687-5265,000313296501080,1557-170X,2012
134,418830700001,1687-5265,000309437600010,0002-953X,2012
135,418830700001,1687-5265,000286302000036,1053-8119,2011
136,418830700001,1687-5265,000185746400027,1053-8119,2003
137,418830700001,1687-5265,000291249200016,0006-3223,2011
138,418830700001,1687-5265,000350057900031,0586-7614,2015
139,418830700001,1687-5265,000340791300001,1471-244X,2014
140,418830700001,1687-5265,A1996UK75800016,0099-5355,1996
141,418830700001,1687-5265,A1997XQ61200009,0031-5982,1997
142,418830700001,1687-5265,000174085900002,0027-8424,2002
143,418830700001,1687-5265,000298810001224,1557-170X,2011
144,418830700001,1687-5265,000209906800001,1664-0640,2014
145,418830700001,1687-5265,000227890300006,0890-8567,2005
146,418830700001,1687-5265,000368550100006,0929-7049,2016
147,418830700001,1687-5265,000247300800002,0387-7604,2007
148,418830700001,1687-5265,A1989T048300020,0036-8075,1989
149,418830700001,1687-5265,000166485300059,0027-8424,2001
150,418830700001,1687-5265,000275017400004,0890-8567,2010
151,418830700001,1687-5265,000275582200003,0920-9964,2010
152,418830700001,1687-5265,000319330200040,1932-6203,2013
153,418830700001,1687-5265,000280181800027,1053-8119,2010
154,418830700001,1687-5265,000320073900004,1053-8119,2013
155,418830700001,1687-5265,000174722000002,0166-4328,2002
156,418830700001,1687-5265,000327531600021,0925-4927,2013
157,418830700001,1687-5265,000247634400024,1053-8119,2007
158,418830700001,1687-5265,000280258400001,0924-977X,2010
159,418830700001,1687-5265,000245160100036,0195-6108,2007
160,418830700001,1687-5265,000229570500017,0006-3223,2005
161,418830700001,1687-5265,000298989400002,1601-1848,2012
162,418830700001,1687-5265,000312263200007,0197-4580,2013
163,418242300001,1687-5265,000345592800001,0302-9743,2014
164,418242300001,1687-5265,000369311700003,0018-9294,2016
165,418242300001,1687-5265,000383260300022,1932-8184,2016
166,418242300001,1687-5265,000335326300017,1053-8135,2014
167,418242300001,1687-5265,000373713600151,1424-8220,2016
168,418242300001,1687-5265,000316264100003,1534-4320,2013
169,418242300001,1687-5265,000248585400017,1053-8119,2007
170,418242300001,1687-5265,A1996UZ38000003,0885-6125,1996
171,418242300001,1687-5265,000313296505119,1557-170X,2012
172,418242300001,1687-5265,000261445100042,0302-9743,2008
173,418242300001,1687-5265,000349770400097,2164-7011,2013
174,418242300001,1687-5265,000208401100007,2072-4292,2010
175,418242300001,1687-5265,000088491300003,0361-9230,2000
176,418242300001,1687-5265,000383880100070,0034-6748,2016
177,418242300001,1687-5265,000376109200011,2168-2216,2016
178,418242300001,1687-5265,000354160900119,1424-8220,2015
179,418242300001,1687-5265,A1995TB19600007,0028-3932,1995
