,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,417325200001,0006-3444,000284902100044,0036-8075,2010
2,417325200001,0006-3444,000228040000021,1061-4036,2005
3,417325200001,0006-3444,000276993600005,0016-5085,2010
4,417325200001,0006-3444,000252217200023,0092-8674,2007
5,417325200001,0006-3444,000293113300020,0162-1459,2011
6,417325200001,0006-3444,000253077800001,0090-5364,2007
7,417325200001,0006-3444,000293782700007,0960-3174,2011
8,417325200001,0006-3444,000331369500003,1369-7412,2014
9,417325200001,0006-3444,000287759000001,0006-3444,2011
10,417325200001,0006-3444,000334694800022,0964-6906,2014
11,417325200001,0006-3444,000299892400005,1744-4292,2012
12,417325200001,0006-3444,000298601300017,0305-1048,2012
13,417325200001,0006-3444,000348694700005,1061-4036,2015
14,417325200001,0006-3444,000252100900004,1474-760X,2007
15,417325200001,0006-3444,000089638800009,1061-4036,2000
16,417325200001,0006-3444,000249890200005,1471-2105,2007
17,417325200001,0006-3444,000239471300013,0090-5364,2006
18,417325200001,0006-3444,000306506500035,0028-0836,2012
19,417325200001,0006-3444,000077983000006,0305-1048,1999
20,417325200001,0006-3444,000187806400006,0887-3585,2004
21,417325200001,0006-3444,000295294900001,1935-7524,2011
22,417325200001,0006-3444,000381097400001,0036-1445,2016
23,417325200001,0006-3444,A1995QF72400063,0028-0836,1995
24,417325200001,0006-3444,000244839800002,0006-3444,2007
25,417325200001,0006-3444,000332328400007,0006-3444,2014
26,417325200001,0006-3444,000298383800015,1367-4803,2012
27,417325200001,0006-3444,000245390700010,1532-4435,2006
28,417325200001,0006-3444,000337042700001,0006-3444,2014
29,417325200002,0006-3444,000262637100002,1532-4435,2008
30,417325200002,0006-3444,A1981MW34800011,0047-259X,1981
31,417325200002,0006-3444,000326991200014,0090-5364,2013
32,417325200002,0006-3444,000272795300013,0027-8424,2009
33,417325200002,0006-3444,000355768700004,0090-5364,2015
34,417325200002,0006-3444,000288459100038,0018-9448,2011
35,417325200002,0006-3444,000349738500007,0090-5364,2015
36,417325200002,0006-3444,000404396500005,0090-5364,2017
37,417325200002,0006-3444,000334256100002,0090-5364,2014
38,417325200002,0006-3444,000363437900011,0090-5364,2015
39,417325200002,0006-3444,000379701300015,0178-8051,2016
40,417325200002,0006-3444,000286759700003,1539-3755,2011
41,417325200002,0006-3444,000396804900010,0090-5364,2017
42,417325200002,0006-3444,000342922000036,0027-8424,2014
43,417325200002,0006-3444,000296995500003,0090-5364,2011
44,417325200002,0006-3444,000410916600023,1061-8600,2017
45,417325200003,0006-3444,000386318200032,0162-1459,2016
46,417325200003,0006-3444,000253077800001,0090-5364,2007
47,417325200003,0006-3444,000304087600007,1369-7412,2012
48,417325200003,0006-3444,000357437300014,0162-1459,2015
49,417325200003,0006-3444,000336663100007,1359-4184,2014
50,417325200003,0006-3444,000290231500007,0090-5364,2010
51,417325200003,0006-3444,000262731400004,0090-5364,2008
52,417325200003,0006-3444,000272346100002,1532-4435,2009
53,417325200003,0006-3444,000293113300016,0162-1459,2011
54,417325200003,0006-3444,000262850800001,1369-7412,2008
55,417325200003,0006-3444,000172728000028,0162-1459,2001
56,417325200003,0006-3444,000176078300027,0162-1459,2002
57,417325200003,0006-3444,000180390300007,1047-3211,2003
58,417325200003,0006-3444,000275203200001,1548-7660,2010
59,417325200003,0006-3444,000314659400002,1369-7412,2013
60,417325200003,0006-3444,000270437100001,1061-8600,2009
61,417325200003,0006-3444,000305920600051,1053-8119,2012
62,417325200003,0006-3444,000419475100004,1380-7870,2018
63,417325200003,0006-3444,000396751200003,2049-1573,2016
64,417325200003,0006-3444,000254502700004,0090-5364,2008
65,417325200003,0006-3444,000277552600002,0167-8655,2010
66,417325200003,0006-3444,000363672000001,1662-5137,2015
67,417325200003,0006-3444,000344638600004,1532-4435,2014
68,417325200003,0006-3444,000345884900003,0090-5364,2014
69,417325200003,0006-3444,000310650900021,0090-5364,2012
70,417325200003,0006-3444,000391932100014,0006-341X,2016
71,417325200003,0006-3444,000348107300001,1662-5196,2014
72,417325200003,0006-3444,000239471300013,0090-5364,2006
73,417325200003,0006-3444,000280638400003,1369-7412,2010
74,417325200003,0006-3444,A1983RR46700010,0010-4620,1983
75,417325200003,0006-3444,A1996TU31400017,0035-9246,1996
76,417325200003,0006-3444,000376150200003,1369-7412,2016
77,417325200003,0006-3444,000416611500025,0162-1459,2017
78,417325200003,0006-3444,000234129000003,1369-7412,2006
79,417325200003,0006-3444,000249909500013,0006-3444,2007
80,417325200003,0006-3444,000245390700010,1532-4435,2006
81,417325200003,0006-3444,000299908800027,0047-259X,2012
82,417325200003,0006-3444,000299662900019,0162-1459,2011
83,417325200003,0006-3444,000227498200007,1369-7412,2005
84,417325200003,0006-3444,000268113500005,0090-5364,2009
85,417325200003,0006-3444,000242869700012,0162-1459,2006
86,417325200003,0006-3444,000257485800020,0165-0270,2008
87,417325200003,0006-3444,000272808400028,1053-8119,2010
88,417325200004,0006-3444,000334029800010,1877-7821,2014
89,417325200004,0006-3444,000281718900016,0964-6906,2010
90,417325200004,0006-3444,000230293000010,0006-3444,2005
91,417325200004,0006-3444,000242131600002,0002-9297,2006
92,417325200004,0006-3444,000316840600010,1061-4036,2013
93,417325200004,0006-3444,000378088700011,1471-0056,2016
94,417325200004,0006-3444,000251679400006,1465-4644,2008
95,417325200004,0006-3444,000264649200023,0162-1459,2009
96,417325200004,0006-3444,000316866700025,1553-7404,2013
97,417325200004,0006-3444,000284578800010,1061-4036,2010
98,417325200004,0006-3444,000187491100009,0002-9297,2003
99,417325200004,0006-3444,000380999200026,0028-0836,2016
100,417325200004,0006-3444,000322911100008,0741-0395,2013
101,417325200004,0006-3444,000187342000046,0028-0836,2003
102,417325200004,0006-3444,000361527000004,0006-341X,2015
103,417325200004,0006-3444,000165987600006,0197-2456,2000
104,417325200004,0006-3444,000303319700002,0741-0395,2012
105,417325200004,0006-3444,000320386800004,0741-0395,2013
106,417325200004,0006-3444,000242838200008,0741-0395,2007
107,417325200004,0006-3444,000264689500008,0741-0395,2009
108,417325200004,0006-3444,000235958400009,0162-1459,2006
109,417325200004,0006-3444,000373914700016,0006-341X,2016
110,417325200004,0006-3444,000328285800005,1465-4644,2013
111,417325200004,0006-3444,000278910700014,1350-7265,2010
112,417325200004,0006-3444,000260994000004,0028-4793,2008
113,417325200004,0006-3444,000170054200001,0028-4793,2001
114,417325200004,0006-3444,000299596200003,0002-9262,2012
115,417325200004,0006-3444,000258470600002,0006-341X,2008
116,417325200004,0006-3444,000262518200013,0002-9262,2009
117,417325200004,0006-3444,A1994PR13400004,0012-9682,1994
118,417325200004,0006-3444,000322590800018,1549-1676,2013
119,417325200004,0006-3444,A1994MR19300005,0277-6715,1994
120,417325200004,0006-3444,A1979HX77100001,0006-3444,1979
121,417325200004,0006-3444,A1997XP47600005,0277-6715,1997
122,417325200004,0006-3444,000275650400009,0028-4793,2010
123,417325200004,0006-3444,000182474400015,0002-9297,2003
124,417325200005,0006-3444,A1993LX75700003,0091-1798,1993
125,417325200005,0006-3444,000271673700004,0090-5364,2009
126,417325200005,0006-3444,000240623000004,0047-259X,2006
127,417325200005,0006-3444,000363437900010,0090-5364,2015
128,417325200005,0006-3444,000309961200001,1083-6489,2012
129,417325200005,0006-3444,000179006700002,1350-7265,2002
130,417325200005,0006-3444,000231899600007,0167-7152,2005
131,417325200005,0006-3444,000250005000007,1367-4803,2006
132,417325200005,0006-3444,000293716500006,0090-5364,2011
133,417325200005,0006-3444,000329078600009,1350-7265,2013
134,417325200005,0006-3444,000301682300002,0047-259X,2012
135,417325200005,0006-3444,000316648200021,0162-1459,2013
136,417325200005,0006-3444,000280216700031,0162-1459,2010
137,417325200005,0006-3444,000282394600022,0047-259X,2010
138,417325200005,0006-3444,000296115000026,0378-3758,2012
139,417325200005,0006-3444,000245838900005,0378-3758,2007
140,417325200005,0006-3444,000226202300004,1350-7265,2004
141,417325200005,0006-3444,A1968B051500001,0003-4851,1968
142,417325200005,0006-3444,A1948UM00800001,0003-4851,1948
143,417325200005,0006-3444,A1948UM00900006,0003-4851,1948
144,417325200005,0006-3444,000303556700001,0378-3758,2012
145,417325200005,0006-3444,000313008700009,1674-7283,2013
146,417325200005,0006-3444,000221176600013,1050-5164,2004
147,417325200005,0006-3444,000326991200012,0090-5364,2013
148,417325200005,0006-3444,000171342800001,0090-5364,2001
149,417325200005,0006-3444,A1982NY67500008,0044-3719,1982
150,417325200005,0006-3444,000178306300005,0090-5364,2002
151,417325200005,0006-3444,000278694600002,0178-8051,2010
152,417325200005,0006-3444,000236306200016,1050-5164,2006
153,417325200005,0006-3444,000307608000011,0090-5364,2012
154,417325200005,0006-3444,000261862500009,1050-5164,2008
155,417325200005,0006-3444,000408920300014,0361-0926,2017
156,417325200005,0006-3444,000341479500003,0167-7152,2014
157,417325200005,0006-3444,A1973Q200600008,0090-5364,1973
158,417325200005,0006-3444,000263063700006,0178-8051,2009
159,417325200005,0006-3444,000310650900017,0090-5364,2012
160,417325200005,0006-3444,000233399800015,0006-3444,2005
161,417325200005,0006-3444,A1985ACK5000008,0091-1798,1985
162,417325200005,0006-3444,000332809900007,0091-1798,2014
163,417325200005,0006-3444,000276284600001,0047-259X,2010
164,417325200005,0006-3444,000319718000013,0047-259X,2013
165,417325200005,0006-3444,A1970F624500023,0003-4851,1970
