ISSN,TITLE,CITED_OUT,CITED_IN,TOT_ART
1532-4435,JOURNAL OF MACHINE LEARNING RESEARCH,0.0,35.0,0.0
1878-9293,DEVELOPMENTAL COGNITIVE NEUROSCIENCE,0.0,1.0,0.0
0956-7976,PSYCHOLOGICAL SCIENCE,0.0,6.0,0.0
1747-0919,SOCIAL NEUROSCIENCE,0.0,1.0,0.0
1097-6256,NATURE NEUROSCIENCE,0.0,124.0,0.0
1047-3211,CEREBRAL CORTEX,0.0,125.0,0.0
1554-351X,BEHAVIOR RESEARCH METHODS,0.0,4.0,0.0
0277-786X,HUMAN VISION AND ELECTRONIC IMAGING IX,0.0,25.0,0.0
Advances in Neural Information Processing Systems,Advances in Neural Information Processing Systems,0.0,2.0,0.0
Review of Managerial Science,Review of Managerial Science,0.0,1.0,0.0
Neuropsychol. Trends,Neuropsychol. Trends,0.0,1.0,0.0
Comput. Math. Methods Med.,Comput. Math. Methods Med.,0.0,1.0,0.0
0167-8396,COMPUTER AIDED GEOMETRIC DESIGN,0.0,1.0,0.0
0954-898X,NETWORK-COMPUTATION IN NEURAL SYSTEMS,0.0,46.0,0.0
1757-4676,EMBO MOLECULAR MEDICINE,0.0,1.0,0.0
0018-7208,HUMAN FACTORS,0.0,1.0,0.0
1040-5488,OPTOMETRY AND VISION SCIENCE,0.0,1.0,0.0
VISUAL PSYCHOPHYSICS: FROM LABORATORY TO THEORY,VISUAL PSYCHOPHYSICS: FROM LABORATORY TO THEORY,0.0,1.0,0.0
J. Stat. Softw.,J. Stat. Softw.,0.0,1.0,0.0
0042-6989,VISION RESEARCH,0.0,4.0,0.0
2045-2322,SCIENTIFIC REPORTS,0.0,12.0,0.0
Frontiers in neuroinformatics,Frontiers in neuroinformatics,0.0,236.0,0.0
0340-1200,BIOLOGICAL CYBERNETICS,0.0,72.0,0.0
2212-683X,BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES,0.0,1.0,0.0
0340-7594,JOURNAL OF COMPARATIVE PHYSIOLOGY,0.0,9.0,0.0
1049-5258,ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 9: PROCEEDINGS OF THE 1996 CONFERENCE,0.0,9.0,0.0
2195-3562,"ADVANCES IN NEUROTECHNOLOGY, ELECTRONICS AND INFORMATICS",0.0,2.0,0.0
0933-3657,ARTIFICIAL INTELLIGENCE IN MEDICINE,0.0,5.0,0.0
1523-9829(print),"ANNUAL REVIEW OF BIOMEDICAL ENGINEERING, VOL 15",0.0,4.0,0.0
WORMATLAS,WORMATLAS,0.0,1.0,0.0
"WormBook, ed The C. elegans Research Community","WormBook, ed The C. elegans Research Community",0.0,1.0,0.0
C. elegans,C. elegans,0.0,1.0,0.0
Biol. Eng. Med,Biol. Eng. Med,0.0,1.0,0.0
0896-6273,NEURON,0.0,171.0,0.0
1099-4300,ENTROPY,0.0,4.0,0.0
2470-0045,PHYSICAL REVIEW E,0.0,16.0,0.0
0031-9007,PHYSICAL REVIEW LETTERS,0.0,48.0,0.0
1539-3755,PHYSICAL REVIEW E,0.0,53.0,0.0
1662-5137,FRONTIERS IN SYSTEMS NEUROSCIENCE,0.0,2.0,0.0
0001-0782,COMMUNICATIONS OF THE ACM,0.0,19.0,0.0
0162-1459,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,0.0,19.0,0.0
0012-9682,ECONOMETRICA,0.0,5.0,0.0
0165-1889,JOURNAL OF ECONOMIC DYNAMICS & CONTROL,0.0,3.0,0.0
Brain Topogr,Brain Topogr,0.0,1.0,0.0
Brain connectivity,Brain connectivity,0.0,25.0,0.0
0301-0082,PROGRESS IN NEUROBIOLOGY,0.0,14.0,0.0
0743-1546,"47TH IEEE CONFERENCE ON DECISION AND CONTROL, 2008 (CDC 2008)",0.0,1.0,0.0
1557-170X,2010 ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC),0.0,23.0,0.0
0169-2607,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,0.0,20.0,0.0
2472-6737,2017 IEEE WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION (WACV 2017),0.0,1.0,0.0
0020-0255,INFORMATION SCIENCES,0.0,8.0,0.0
1051-2004,DIGITAL SIGNAL PROCESSING,0.0,1.0,0.0
0165-1684,SIGNAL PROCESSING,0.0,6.0,0.0
0925-2312,NEUROCOMPUTING,0.0,49.0,0.0
Adv. Artif. Neural Syst.,Adv. Artif. Neural Syst.,0.0,1.0,0.0
"arXiv preprint arXiv 1212, 4527","arXiv preprint arXiv 1212, 4527",0.0,1.0,0.0
0897-7151,JOURNAL OF NEUROTRAUMA,0.0,4.0,0.0
1087-0547,JOURNAL OF ATTENTION DISORDERS,0.0,1.0,0.0
0735-6757,AMERICAN JOURNAL OF EMERGENCY MEDICINE,0.0,1.0,0.0
0928-4257,JOURNAL OF PHYSIOLOGY-PARIS,0.0,9.0,0.0
0895-0172,JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,0.0,4.0,0.0
0013-9580,EPILEPSIA,0.0,24.0,0.0
0031-5117,PERCEPTION & PSYCHOPHYSICS,0.0,2.0,0.0
0048-5772,PSYCHOPHYSIOLOGY,0.0,13.0,0.0
0028-3878,NEUROLOGY,0.0,26.0,0.0
1601-1848,GENES BRAIN AND BEHAVIOR,0.0,2.0,0.0
J Neurother,J Neurother,0.0,1.0,0.0
0586-7614,SCHIZOPHRENIA BULLETIN,0.0,16.0,0.0
1388-2457,CLINICAL NEUROPHYSIOLOGY,0.0,55.0,0.0
1664-2295,FRONTIERS IN NEUROLOGY,0.0,3.0,0.0
0269-9052,BRAIN INJURY,0.0,1.0,0.0
1550-0594,CLINICAL EEG AND NEUROSCIENCE,0.0,3.0,0.0
J. Atten. Disord,J. Atten. Disord,0.0,1.0,0.0
0006-3223,BIOLOGICAL PSYCHIATRY,0.0,25.0,0.0
0009-9155,CLINICAL ELECTROENCEPHALOGRAPHY,0.0,2.0,0.0
0013-4694,ELECTROENCEPHALOGRAPHY AND CLINICAL NEUROPHYSIOLOGY,0.0,19.0,0.0
2215-0374,LANCET PSYCHIATRY,0.0,1.0,0.0
0193-953X,PSYCHIATRIC CLINICS OF NORTH AMERICA,0.0,1.0,0.0
1866-9956,COGNITIVE COMPUTATION,0.0,3.0,0.0
0363-0234,SUICIDE AND LIFE-THREATENING BEHAVIOR,0.0,1.0,0.0
1745-6215,TRIALS,0.0,1.0,0.0
1532-0464,JOURNAL OF BIOMEDICAL INFORMATICS,0.0,20.0,0.0
0033-2917,PSYCHOLOGICAL MEDICINE,0.0,2.0,0.0
0018-9219,PROCEEDINGS OF THE IEEE,0.0,19.0,0.0
1949-3045,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,0.0,2.0,0.0
1352-4658,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,0.0,1.0,0.0
1752-2439,PSYCHOSIS-PSYCHOLOGICAL SOCIAL AND INTEGRATIVE APPROACHES,0.0,1.0,0.0
0730-0301,ACM TRANSACTIONS ON GRAPHICS,0.0,6.0,0.0
1044-7318,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,0.0,1.0,0.0
0160-6689,JOURNAL OF CLINICAL PSYCHIATRY,0.0,2.0,0.0
1380-7501,MULTIMEDIA TOOLS AND APPLICATIONS,0.0,2.0,0.0
0003-990X,ARCHIVES OF GENERAL PSYCHIATRY,0.0,11.0,0.0
BRAIN-COMPUTER INTERFACES,BRAIN-COMPUTER INTERFACES,0.0,1.0,0.0
International Journal of Autonomous and Adaptive Communications Systems,International Journal of Autonomous and Adaptive Communications Systems,0.0,1.0,0.0
1046-1310,CURRENT PSYCHOLOGY,0.0,1.0,0.0
0090-5364,ANNALS OF STATISTICS,0.0,11.0,0.0
1758-9193,ALZHEIMERS RESEARCH & THERAPY,0.0,1.0,0.0
1051-4651,"PROCEEDINGS OF THE 17TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION, VOL 4",0.0,2.0,0.0
1359-4184,MOLECULAR PSYCHIATRY,0.0,14.0,0.0
1566-2772,CLINICAL NEUROSCIENCE RESEARCH,0.0,1.0,0.0
1759-4758,NATURE REVIEWS NEUROLOGY,0.0,5.0,0.0
0094-2405,MEDICAL PHYSICS,0.0,14.0,0.0
0031-9155,PHYSICS IN MEDICINE AND BIOLOGY,0.0,16.0,0.0
0047-259X,JOURNAL OF MULTIVARIATE ANALYSIS,0.0,1.0,0.0
0895-6111,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,0.0,10.0,0.0
0957-4174,EXPERT SYSTEMS WITH APPLICATIONS,0.0,11.0,0.0
0191-2216,49TH IEEE CONFERENCE ON DECISION AND CONTROL (CDC),0.0,1.0,0.0
0212-6982,REVISTA ESPANOLA DE MEDICINA NUCLEAR,0.0,1.0,0.0
JALT Testing & Evaluation SIG Newsletter,JALT Testing & Evaluation SIG Newsletter,0.0,1.0,0.0
STATISTICAL PARAMETRIC MAPPING: THE ANALYSIS OF FUNCTIONAL BRAIN IMAGES,STATISTICAL PARAMETRIC MAPPING: THE ANALYSIS OF FUNCTIONAL BRAIN IMAGES,0.0,8.0,0.0
Aust. J. Stat.,Aust. J. Stat.,0.0,1.0,0.0
0162-8828,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0.0,24.0,0.0
1082-3654,2012 IEEE NUCLEAR SCIENCE SYMPOSIUM AND MEDICAL IMAGING CONFERENCE RECORD (NSS/MIC),0.0,1.0,0.0
0143-3636,NUCLEAR MEDICINE COMMUNICATIONS,0.0,2.0,0.0
1350-7540,CURRENT OPINION IN NEUROLOGY,0.0,16.0,0.0
1548-7091,NATURE METHODS,0.0,45.0,0.0
0007-1285,BRITISH JOURNAL OF RADIOLOGY,0.0,4.0,0.0
arXiv preprint arXiv:1505.04597,arXiv preprint arXiv:1505.04597,0.0,1.0,0.0
0898-929X,JOURNAL OF COGNITIVE NEUROSCIENCE,0.0,26.0,0.0
JOURNAL OF CLOUD COMPUTING-ADVANCES SYSTEMS AND APPLICATIONS,JOURNAL OF CLOUD COMPUTING-ADVANCES SYSTEMS AND APPLICATIONS,0.0,1.0,0.0
LECT NOTES COMPUTER,LECT NOTES COMPUTER,0.0,3.0,0.0
1094-3420,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,0.0,3.0,0.0
0364-5134,ANNALS OF NEUROLOGY,0.0,14.0,0.0
1521-9615,COMPUTING IN SCIENCE & ENGINEERING,0.0,82.0,0.0
1178-623X,MAGNETIC RESONANCE INSIGHTS,0.0,1.0,0.0
1861-6410,INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY,0.0,3.0,0.0
1741-2560,JOURNAL OF NEURAL ENGINEERING,0.0,28.0,0.0
bioRxiv,bioRxiv,0.0,6.0,0.0
1387-2877,JOURNAL OF ALZHEIMERS DISEASE,0.0,12.0,0.0
0885-6125,MACHINE LEARNING,0.0,12.0,0.0
0022-3077,JOURNAL OF NEUROPHYSIOLOGY,0.0,119.0,0.0
1664-0640,FRONTIERS IN PSYCHIATRY,0.0,1.0,0.0
2158-3188,TRANSLATIONAL PSYCHIATRY,0.0,1.0,0.0
The handbook of brain theory and neural networks,The handbook of brain theory and neural networks,0.0,1.0,0.0
Proc. Advances in Neural Information Processing Systems,Proc. Advances in Neural Information Processing Systems,0.0,1.0,0.0
0018-9294,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,0.0,57.0,0.0
1567-2050,CURRENT ALZHEIMER RESEARCH,0.0,2.0,0.0
1384-5810,DATA MINING AND KNOWLEDGE DISCOVERY,0.0,4.0,0.0
0035-9246,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL,0.0,17.0,0.0
0149-7634,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,0.0,16.0,0.0
0022-510X,JOURNAL OF THE NEUROLOGICAL SCIENCES,0.0,2.0,0.0
2052-4463,SCIENTIFIC DATA,0.0,14.0,0.0
ADV NEURAL INFORM PR,ADV NEURAL INFORM PR,0.0,9.0,0.0
0161-8105,SLEEP,0.0,12.0,0.0
0006-8993,BRAIN RESEARCH,0.0,49.0,0.0
1053-587X,IEEE TRANSACTIONS ON SIGNAL PROCESSING,0.0,6.0,0.0
1045-9227,IEEE TRANSACTIONS ON NEURAL NETWORKS,0.0,23.0,0.0
0893-6080,NEURAL NETWORKS,0.0,53.0,0.0
1083-4427,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS,0.0,1.0,0.0
0036-1399,SIAM JOURNAL ON APPLIED MATHEMATICS,0.0,4.0,0.0
0033-569X,QUARTERLY OF APPLIED MATHEMATICS,0.0,5.0,0.0
TUTORIALS IN QUANTITATIVE METHODS FOR PSYCHOLOGY,TUTORIALS IN QUANTITATIVE METHODS FOR PSYCHOLOGY,0.0,1.0,0.0
MACHINE LEARNING: A PROBABILISTIC PERSPECTIVE,MACHINE LEARNING: A PROBABILISTIC PERSPECTIVE,0.0,1.0,0.0
1549-1277,PLOS MEDICINE,0.0,4.0,0.0
0010-4809,COMPUTERS AND BIOMEDICAL RESEARCH,0.0,8.0,0.0
Frontiers in psychiatry,Frontiers in psychiatry,0.0,3.0,0.0
Frontiers in neuroscience,Frontiers in neuroscience,0.0,3.0,0.0
0006-8950,BRAIN,0.0,49.0,0.0
0963-7214,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,0.0,1.0,0.0
0925-4927,PSYCHIATRY RESEARCH-NEUROIMAGING,0.0,12.0,0.0
0092-8674,CELL,0.0,19.0,0.0
0334-1763,REVIEWS IN THE NEUROSCIENCES,0.0,6.0,0.0
2162-3279,BRAIN AND BEHAVIOR,0.0,3.0,0.0
0022-3956,JOURNAL OF PSYCHIATRIC RESEARCH,0.0,6.0,0.0
0007-1250,BRITISH JOURNAL OF PSYCHIATRY,0.0,6.0,0.0
R News,R News,0.0,2.0,0.0
0278-5846,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,0.0,2.0,0.0
0018-9456,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,0.0,1.0,0.0
1535-3508,MOLECULAR IMAGING,0.0,3.0,0.0
0039-2499,STROKE,0.0,13.0,0.0
1077-3142,COMPUTER VISION AND IMAGE UNDERSTANDING,0.0,4.0,0.0
0022-4715,JOURNAL OF STATISTICAL PHYSICS,0.0,2.0,0.0
0960-0779,CHAOS SOLITONS & FRACTALS,0.0,1.0,0.0
1522-4880,2015 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP),0.0,1.0,0.0
1742-6588,6TH INTERNATIONAL WORKSHOP ON NEW COMPUTATIONAL METHODS FOR INVERSE PROBLEMS,0.0,1.0,0.0
1662-5110,FRONTIERS IN NEURAL CIRCUITS,0.0,19.0,0.0
0022-3751,JOURNAL OF PHYSIOLOGY-LONDON,0.0,30.0,0.0
1877-0509,INNS CONFERENCE ON BIG DATA 2015 PROGRAM,0.0,7.0,0.0
0031-899X,PHYSICAL REVIEW,0.0,4.0,0.0
Progress in Neural Processing,Progress in Neural Processing,0.0,1.0,0.0
0146-0404,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,0.0,3.0,0.0
0271-4302,2010 IEEE INTERNATIONAL SYMPOSIUM ON CIRCUITS AND SYSTEMS,0.0,4.0,0.0
1742-5468,JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,0.0,6.0,0.0
arXiv preprint arXiv: 0912.5409.,arXiv preprint arXiv: 0912.5409.,0.0,1.0,0.0
1948-3546,2015 7TH INTERNATIONAL IEEE/EMBS CONFERENCE ON NEURAL ENGINEERING (NER),0.0,2.0,0.0
Statistical Mechanics of Learning and Inference,Statistical Mechanics of Learning and Inference,0.0,1.0,0.0
0036-8733,SCIENTIFIC AMERICAN,0.0,7.0,0.0
0361-9230,BRAIN RESEARCH BULLETIN,0.0,8.0,0.0
1471-2121,BMC CELL BIOLOGY,0.0,1.0,0.0
2157-6904,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,0.0,7.0,0.0
1931-6828,FIXED-POINT ALGORITHMS FOR INVERSE PROBLEMS IN SCIENCE AND ENGINEERING,0.0,1.0,0.0
0014-2999,EUROPEAN JOURNAL OF PHARMACOLOGY,0.0,1.0,0.0
0960-9822,CURRENT BIOLOGY,0.0,25.0,0.0
0964-2633,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,0.0,1.0,0.0
0896-0267,BRAIN TOPOGRAPHY,0.0,13.0,0.0
MMWR Surveillance Summaries 2014,MMWR Surveillance Summaries 2014,0.0,1.0,0.0
Optimization,Optimization,0.0,1.0,0.0
Cogn. Process.,Cogn. Process.,0.0,1.0,0.0
Alzheimers Dementia,Alzheimers Dementia,0.0,1.0,0.0
Sociol. Q.,Sociol. Q.,0.0,1.0,0.0
INTERNET MATHEMATICS,INTERNET MATHEMATICS,0.0,1.0,0.0
0021-9630,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0.0,5.0,0.0
1070-9908,IEEE SIGNAL PROCESSING LETTERS,0.0,3.0,0.0
1755-5930,CNS NEUROSCIENCE & THERAPEUTICS,0.0,2.0,0.0
Med. Image Comput. Comput. Assist. Interv.,Med. Image Comput. Comput. Assist. Interv.,0.0,2.0,0.0
J. Mach. Learn. Res.,J. Mach. Learn. Res.,0.0,2.0,0.0
1369-7412,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,0.0,7.0,0.0
0096-3003,APPLIED MATHEMATICS AND COMPUTATION,0.0,4.0,0.0
1552-5260,ALZHEIMERS & DEMENTIA,0.0,11.0,0.0
1061-4036,NATURE GENETICS,0.0,15.0,0.0
1067-5027,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,0.0,22.0,0.0
1319-8025,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,0.0,1.0,0.0
1570-0844,SEMANTIC WEB,0.0,2.0,0.0
0926-9630,"HEALTHGRID RESEARCH, INNOVATION AND BUSINESS CASE",0.0,13.0,0.0
0098-7484,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0.0,3.0,0.0
1570-5838,APPLIED ONTOLOGY,0.0,3.0,0.0
1865-1348,"BUSINESS INFORMATION SYSTEMS, PROCEEDINGS",0.0,1.0,0.0
0004-3702,ARTIFICIAL INTELLIGENCE,0.0,7.0,0.0
ACM Transactions on Internet Technology,ACM Transactions on Internet Technology,0.0,4.0,0.0
Nucleic Acids Res,Nucleic Acids Res,0.0,2.0,0.0
0009-9147,CLINICAL CHEMISTRY,0.0,2.0,0.0
