ISSN,TITLE,CITED_OUT,CITED_IN,TOT_ART
1553-734X,PLoS Computational Biology,0.0,144.0,0.0
1367-4803,BIOINFORMATICS,0.0,41.0,0.0
1752-0509,BMC Systems Biology,0.0,11.0,0.0
1471-2105,BMC BIOINFORMATICS,0.0,22.0,0.0
0303-6812,JOURNAL OF MATHEMATICAL BIOLOGY,0.0,3.0,0.0
1748-7188,Algorithms for Molecular Biology,0.0,0.0,0.0
1465-4644,BIOSTATISTICS,0.0,5.0,0.0
1176-9343,Evolutionary Bioinformatics,0.0,1.0,0.0
1662-5188,Frontiers in Computational Neuroscience,0.0,63.0,0.0
0022-5193,JOURNAL OF THEORETICAL BIOLOGY,0.0,6.0,0.0
0277-6715,STATISTICS IN MEDICINE,0.0,2.0,0.0
0929-5313,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,0.0,90.0,0.0
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,0.0,0.0,0.0
0092-8240,BULLETIN OF MATHEMATICAL BIOLOGY,0.0,2.0,0.0
0006-3444,BIOMETRIKA,0.0,5.0,0.0
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0.0,7.0,0.0
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,0.0,0.0,0.0
0006-341X,BIOMETRICS,0.0,1.0,0.0
1751-8849,IET Systems Biology,0.0,0.0,0.0
1089-7771,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,0.0,10.0,0.0
1793-5245,International Journal of Biomathematics,0.0,0.0,0.0
1742-4682,Theoretical Biology and Medical Modelling,0.0,0.0,0.0
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,0.0,0.0,0.0
0025-5564,MATHEMATICAL BIOSCIENCES,0.0,2.0,0.0
1062-936X,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,0.0,0.0,0.0
0323-3847,BIOMETRICAL JOURNAL,0.0,1.0,0.0
1477-8599,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,0.0,0.0,0.0
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,0.0,16.0,0.0
1574-8936,Current Bioinformatics,0.0,0.0,0.0
1748-670X,Computational and Mathematical Methods in Medicine,0.0,1.0,0.0
1085-7117,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0.0,0.0,0.0
0973-5348,Mathematical Modelling of Natural Phenomena,0.0,0.0,0.0
1748-5673,International Journal of Data Mining and Bioinformatics,0.0,0.0,0.0
1938-7989,Statistics and Its Interface,0.0,0.0,0.0
0218-3390,JOURNAL OF BIOLOGICAL SYSTEMS,0.0,0.0,0.0
2040-7939,International Journal for Numerical Methods in Biomedical Engineering,0.0,0.0,0.0
1868-1743,Molecular Informatics,0.0,0.0,0.0
1467-5463,BRIEFINGS IN BIOINFORMATICS,0.0,12.0,0.0
1758-0463,Database-The Journal of Biological Databases and Curation,0.0,4.0,0.0
0303-2647,BIOSYSTEMS,0.0,4.0,0.0
0001-5342,ACTA BIOTHEORETICA,0.0,0.0,0.0
2194-573X,International Journal of Biostatistics,0.0,0.0,0.0
1547-1063,Mathematical Biosciences and Engineering,0.0,0.0,0.0
1431-7613,THEORY IN BIOSCIENCES,0.0,0.0,0.0
1946-6315,Statistics in Biopharmaceutical Research,0.0,0.0,0.0
0385-4035,Hokkaido Mathematical Journal,0.0,0.0,0.0
1759-0876,Wiley Interdisciplinary Reviews-Computational Molecular Science,0.0,0.0,0.0
2156-7018,Journal of Medical Imaging and Health Informatics,0.0,1.0,0.0
1756-0381,BioData Mining,0.0,0.0,0.0
2194-6302,Statistical Applications in Genetics and Molecular Biology,0.0,0.0,0.0
0219-7200,Journal of Bioinformatics and Computational Biology,0.0,0.0,0.0
1913-2751,Interdisciplinary Sciences-Computational Life Sciences,0.0,0.0,0.0
2168-2194,IEEE Journal of Biomedical and Health Informatics,0.0,3.0,0.0
1759-2879,Research Synthesis Methods,0.0,0.0,0.0
1662-5196,Frontiers in Neuroinformatics,10194.0,247.0,301.0
2041-1480,Journal of Biomedical Semantics,0.0,6.0,0.0
1751-3758,Journal of Biological Dynamics,0.0,0.0,0.0
1687-5265,Computational Intelligence and Neuroscience,0.0,24.0,0.0
0741-0395,GENETIC EPIDEMIOLOGY,0.0,3.0,0.0
1053-8119,NEUROIMAGE,0.0,1210.0,0.0
0036-8075,SCIENCE,0.0,155.0,0.0
0730-725X,MAGNETIC RESONANCE IMAGING,0.0,27.0,0.0
0962-8436,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0.0,55.0,0.0
0899-7667,NEURAL COMPUTATION,0.0,134.0,0.0
0740-3194,MAGNETIC RESONANCE IN MEDICINE,0.0,134.0,0.0
0270-6474,JOURNAL OF NEUROSCIENCE,0.0,239.0,0.0
1662-5161,FRONTIERS IN HUMAN NEUROSCIENCE,0.0,49.0,0.0
0027-8424,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.0,218.0,0.0
0077-8923,YEAR IN COGNITIVE NEUROSCIENCE 2008,0.0,12.0,0.0
1065-9471,HUMAN BRAIN MAPPING,0.0,172.0,0.0
0033-3123,PSYCHOMETRIKA,0.0,4.0,0.0
1364-6613,TRENDS IN COGNITIVE SCIENCES,0.0,34.0,0.0
0165-0270,JOURNAL OF NEUROSCIENCE METHODS,0.0,174.0,0.0
0167-8760,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,0.0,9.0,0.0
1932-6203,PLOS ONE,0.0,180.0,0.0
0951-7367,CURRENT OPINION IN PSYCHIATRY,0.0,1.0,0.0
FRONTIERS IN SYSTEMS NEUROSCIENCE,FRONTIERS IN SYSTEMS NEUROSCIENCE,0.0,33.0,0.0
IEEE reviews in biomedical engineering,IEEE reviews in biomedical engineering,0.0,3.0,0.0
1471-003X,NATURE REVIEWS NEUROSCIENCE,0.0,79.0,0.0
0002-953X,AMERICAN JOURNAL OF PSYCHIATRY,0.0,18.0,0.0
0959-4965,NEUROREPORT,0.0,8.0,0.0
0169-0965,LANGUAGE AND COGNITIVE PROCESSES,0.0,2.0,0.0
2076-1465,2015 23RD EUROPEAN SIGNAL PROCESSING CONFERENCE (EUSIPCO),0.0,3.0,0.0
1945-7928,"2007 4TH IEEE INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING : MACRO TO NANO, VOLS 1-3",0.0,9.0,0.0
0028-0836,NATURE,0.0,119.0,0.0
0195-6108,AMERICAN JOURNAL OF NEURORADIOLOGY,0.0,22.0,0.0
0035-3787,REVUE NEUROLOGIQUE,0.0,2.0,0.0
0920-9964,SCHIZOPHRENIA RESEARCH,0.0,18.0,0.0
0079-6123(print),"SLOW BRAIN OSCILLATIONS OF SLEEP, RESTING STATE AND VIGILANCE",0.0,2.0,0.0
0147-006X,ANNUAL REVIEW OF NEUROSCIENCE,0.0,14.0,0.0
Human Brain Mapping,Human Brain Mapping,0.0,15.0,0.0
International journal of Alzheimer's disease,International journal of Alzheimer's disease,0.0,1.0,0.0
0033-8419,RADIOLOGY,0.0,15.0,0.0
0952-3480,NMR IN BIOMEDICINE,0.0,23.0,0.0
0010-9452,CORTEX,0.0,9.0,0.0
1662-453X,FRONTIERS IN NEUROSCIENCE,0.0,82.0,0.0
1539-2791,NEUROINFORMATICS,0.0,223.0,0.0
0028-3940,NEURORADIOLOGY,0.0,7.0,0.0
0930-1038,SURGICAL AND RADIOLOGIC ANATOMY,0.0,1.0,0.0
0278-0062,IEEE TRANSACTIONS ON MEDICAL IMAGING,0.0,169.0,0.0
1011-2499,"INFORMATION PROCESSING IN MEDICAL IMAGING, PROCEEDINGS",0.0,1.0,0.0
1863-2653,BRAIN STRUCTURE & FUNCTION,0.0,23.0,0.0
2168-622X,JAMA PSYCHIATRY,0.0,2.0,0.0
0022-3050,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,0.0,11.0,0.0
2213-1582,NEUROIMAGE-CLINICAL,0.0,21.0,0.0
bioRxiv 084137,bioRxiv 084137,0.0,1.0,0.0
INTERNATIONAL JOURNAL OF GENERAL MEDICINE,INTERNATIONAL JOURNAL OF GENERAL MEDICINE,0.0,1.0,0.0
1361-8415,MEDICAL IMAGE ANALYSIS,0.0,65.0,0.0
1057-7408,JOURNAL OF CONSUMER PSYCHOLOGY,0.0,1.0,0.0
1053-5888,IEEE SIGNAL PROCESSING MAGAZINE,0.0,11.0,0.0
0022-2437,JOURNAL OF MARKETING RESEARCH,0.0,1.0,0.0
1664-1078,FRONTIERS IN PSYCHOLOGY,0.0,8.0,0.0
0302-9743,PATTERN RECOGNITION,0.0,89.0,0.0
2041-1723,NATURE COMMUNICATIONS,0.0,12.0,0.0
1534-7362,JOURNAL OF VISION,0.0,2.0,0.0
