,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,414207900013,1793-5245,000394066400012,0025-5564,2017
2,414207900013,1793-5245,000314006500015,0020-0255,2013
3,414207900013,1793-5245,000252137400003,1028-6276,2006
4,414207900013,1793-5245,000310398600007,0340-6253,2012
5,414207900013,1793-5245,000299657400003,0340-6253,2012
6,414207900013,1793-5245,000289039800015,0340-6253,2011
7,414207900013,1793-5245,000331850800006,0340-6253,2014
8,414207900013,1793-5245,000303942200001,1793-5245,2012
9,414207900013,1793-5245,000311515000012,0973-1458,2012
10,414207900013,1793-5245,A1997XW36900036,0012-365X,1997
11,414207900013,1793-5245,A1996VA32800029,0012-365X,1996
12,414207900009,1793-5245,000233188400011,0304-3800,2005
13,414207900009,1793-5245,000273063900014,0022-247X,2010
14,414207900009,1793-5245,A1997XL96000013,1350-2379,1997
15,414207900009,1793-5245,000247859300005,1468-1218,2007
16,414207900009,1793-5245,000274816800001,0749-159X,2010
17,414207900009,1793-5245,000296546000010,1007-5704,2012
18,414207900009,1793-5245,000287468600019,0932-0784,2010
19,414207900009,1793-5245,A1997XU83600004,0096-3003,1997
20,414207900009,1793-5245,000171167400018,0377-0427,2001
21,414207900009,1793-5245,A1993MQ12200013,0022-247X,1993
22,414207900009,1793-5245,A1995RW58100002,0898-1221,1995
23,414207900009,1793-5245,000287923900006,0020-7160,2011
24,414207900009,1793-5245,000241834500006,0025-5564,2006
25,414207900009,1793-5245,000254254300028,0096-3003,2008
26,414207900009,1793-5245,000289706900016,0898-1221,2011
27,414207900009,1793-5245,000277995100017,0898-1221,2009
28,414207900009,1793-5245,000362862100008,1359-4311,2015
29,414207900009,1793-5245,000295124400012,1641-876X,2011
30,414207900009,1793-5245,000288823700005,1290-0729,2011
31,414207900009,1793-5245,000178268100003,0045-7906,2003
32,414207900009,1793-5245,000300075000007,0307-904X,2012
33,414207900010,1793-5245,000086181100003,0304-3800,2000
34,414207900010,1793-5245,000087476000014,0165-0114,2000
