,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,WOS:000417895400005,0219-7200,WOS:000257341200001,0038-0644,2008
2,WOS:000417895400005,0219-7200,WOS:A1990ED16700008,0022-2836,1990
3,WOS:000417895400005,0219-7200,WOS:000259530100001,1471-2105,2008
4,WOS:000417895400005,0219-7200,WOS:000256351100010,0302-9743,2008
5,WOS:000417895400005,0219-7200,WOS:000359281500003,1471-2105,2015
6,WOS:000417895400005,0219-7200,WOS:000268107100023,1367-4803,2009
7,WOS:000417895400005,0219-7200,WOS:000183231000032,0305-1048,2003
8,WOS:000417895400005,0219-7200,WOS:000181079700109,0305-1048,2003
9,WOS:000417895400005,0219-7200,WOS:000244887600038,0302-9743,2005
10,WOS:000417895400005,0219-7200,WOS:000305419800028,1367-4803,2012
11,WOS:000417895400005,0219-7200,WOS:A1994MY85400005,0026-9247,1994
12,WOS:000417895400005,0219-7200,WOS:000083933500001,0038-0644,1999
13,WOS:000417895400005,0219-7200,WOS:A1976BA71200010,0018-9448,1976
14,WOS:000417895400005,0219-7200,WOS:000242188000001,1471-2105,2006
15,WOS:000417895400005,0219-7200,WOS:A1978FA20600012,0004-5411,1978
16,WOS:000417895400005,0219-7200,WOS:A1994PW64200037,0305-1048,1994
17,WOS:000417895400005,0219-7200,WOS:000287758400005,1367-4803,2011
18,WOS:000417895400005,0219-7200,FORA DA BASE,"Proceedings of the First International Conference on Research in Computational Molecular Biology, RECOMB, RECOMB'97",1997
19,WOS:000417895400008,0219-7200,WOS:000245672100005,0022-5193,2007
20,WOS:000417895400008,0219-7200,WOS:000078085000048,0028-0836,1999
21,WOS:000417895400008,0219-7200,WOS:000249064700014,0027-8424,2007
22,WOS:000417895400008,0219-7200,WOS:000244711500002,1553-734X,2007
23,WOS:000417895400008,0219-7200,WOS:000263520900016,1010-061X,2009
24,WOS:000417895400008,0219-7200,WOS:000253373900005,0014-3820,2008
25,WOS:000417895400008,0219-7200,WOS:000289406300001,1471-2148,2011
26,WOS:000417895400008,0219-7200,WOS:000367022800027,0300-9084,2015
27,WOS:000417895400008,0219-7200,WOS:000331735300001,1664-302X,2014
28,WOS:000417895400008,0219-7200,WOS:A1996VF80800001,0022-2844,1996
29,WOS:000417895400008,0219-7200,WOS:000075143900003,0027-8424,1998
30,WOS:000417895400008,0219-7200,WOS:000186024300013,0027-8424,2003
31,WOS:000417895400008,0219-7200,WOS:000282200100005,0168-9525,2010
32,WOS:000417895400008,0219-7200,WOS:000270185900004,0168-9525,2009
33,WOS:000417895400008,0219-7200,WOS:000259097400002,1471-2148,2008
34,WOS:000417895400008,0219-7200,WOS:000327943100007,1064-5462,2014
35,WOS:000417895400008,0219-7200,WOS:000249285800004,0265-9247,2007
36,WOS:000417895400008,0219-7200,WOS:000077204000040,0028-0836,1998
37,WOS:000417895400008,0219-7200,WOS:000271555000014,0959-440X,2009
38,WOS:000417895400008,0219-7200,WOS:000088221100049,0028-0836,2000
39,WOS:000417895400008,0219-7200,WOS:000227657800002,0014-5793,2005
40,WOS:000417895400008,0219-7200,WOS:000331674700023,0006-3495,2014
41,WOS:000417895400008,0219-7200,WOS:000300822400001,0962-8452,2012
42,WOS:000417895400008,0219-7200,WOS:000251717800012,0962-8452,2008
43,WOS:000417895400008,0219-7200,FORA DA BASE,Progress in drug research. Fortschritte der Arzneimittelforschung. Progres des recherches pharmaceutiques,2007
44,WOS:000417895400003,0219-7200,WOS:000264967500048,0027-8424,2009
45,WOS:000417895400003,0219-7200,WOS:000312533100045,0036-8075,2012
46,WOS:000417895400003,0219-7200,WOS:000165512600008,1066-5277,2000
47,WOS:000417895400003,0219-7200,WOS:000306139700001,1471-2105,2012
48,WOS:000417895400003,0219-7200,WOS:000350210400098,0305-1048,2015
49,WOS:000417895400003,0219-7200,WOS:000295171700004,1467-5463,2011
50,WOS:000417895400003,0219-7200,WOS:A1979HF09300002,0039-7989,1979
51,WOS:000417895400003,0219-7200,WOS:000323504100025,1545-5963,2013
52,WOS:000417895400003,0219-7200,WOS:000239885600026,0304-3975,2006
53,WOS:000417895400003,0219-7200,WOS:000185732500010,1063-5157,2003
54,WOS:000417895400003,0219-7200,WOS:000249416400021,1474-760X,2007
55,WOS:000417895400003,0219-7200,WOS:000173077100008,0305-1048,2002
56,WOS:000417895400003,0219-7200,WOS:000251606400002,1471-2148,2007
57,WOS:000417895400003,0219-7200,WOS:000257158200001,1745-6150,2008
58,WOS:000417895400003,0219-7200,WOS:000276771400012,1471-0056,2010
59,WOS:000417895400003,0219-7200,WOS:000089008300002,0097-5397,2000
60,WOS:000417895400003,0219-7200,WOS:000273981100037,0028-0836,2010
61,WOS:000417895400003,0219-7200,WOS:000381381100015,1932-6203,2016
62,WOS:000417895400003,0219-7200,WOS:000295173800001,1932-6203,2011
63,WOS:000417895400003,0219-7200,WOS:000285418600031,0737-4038,2011
64,WOS:000417895400003,0219-7200,WOS:000173050500027,1367-4803,2001
65,WOS:000417895400003,0219-7200,WOS:000176197000006,1063-5157,2002
66,WOS:000417895400003,0219-7200,WOS:000263132600016,1088-9051,2009
67,WOS:000417895400003,0219-7200,WOS:000312895100008,1063-5157,2013
68,WOS:000417895400003,0219-7200,FORA DA BASE,Nature Rev Gen,2015
69,WOS:000417895400003,0219-7200,WOS:000283122600002,1471-2164,2010
70,WOS:000417895400004,0219-7200,WOS:000188602400012,1471-0056,2004
71,WOS:000417895400004,0219-7200,WOS:000361801000003,1474-760X,2015
72,WOS:000417895400004,0219-7200,WOS:000173926000047,0036-8075,2002
73,WOS:000417895400004,0219-7200,WOS:000349547400029,0028-0836,2015
74,WOS:000417895400004,0219-7200,WOS:000304099100044,0028-0836,2012
75,WOS:000417895400004,0219-7200,WOS:000240959800014,1088-9051,2006
76,WOS:000417895400004,0219-7200,WOS:000224756700037,0036-8075,2004
77,WOS:000417895400004,0219-7200,WOS:000271419200031,0028-0836,2009
78,WOS:000417895400004,0219-7200,WOS:000275550700001,1471-2105,2010
79,WOS:000417895400004,0219-7200,WOS:000245098600014,0092-8674,2007
80,WOS:000417895400004,0219-7200,WOS:000278448100012,1097-2765,2010
81,WOS:000417895400004,0219-7200,WOS:000311902700016,1367-4803,2012
82,WOS:000417895400004,0219-7200,WOS:000309519300022,1548-7091,2012
83,WOS:000417895400004,0219-7200,WOS:000258935100005,1744-4292,2008
84,WOS:000417895400004,0219-7200,WOS:000314892000008,1367-4803,2013
85,WOS:000417895400004,0219-7200,WOS:000270599500043,0036-8075,2009
86,WOS:000417895400004,0219-7200,WOS:000359619500001,1471-2105,2015
87,WOS:000417895400004,0219-7200,WOS:000339614800051,1932-6203,2014
88,WOS:000417895400004,0219-7200,WOS:000337040200018,1367-4803,2014
89,WOS:000417895400004,0219-7200,WOS:000347922500019,0092-8674,2014
90,WOS:000417895400004,0219-7200,WOS:000362472400002,1471-2105,2015
91,WOS:000417895400004,0219-7200,WOS:000360426000001,1471-2105,2015
92,WOS:000417895400004,0219-7200,WOS:000365571000001,1465-6906,2015
93,WOS:000417895400004,0219-7200,WOS:000241592700026,1061-4036,2006
94,WOS:000417895400004,0219-7200,WOS:000232316800014,1471-0056,2005
95,WOS:000417895400004,0219-7200,WOS:000074020000035,0028-0836,1998
96,WOS:000417895400004,0219-7200,WOS:000296584000008,1061-4036,2011
97,WOS:000417895400004,0219-7200,FORA DA BASE,bio Rxiv,2015
98,WOS:000417895400004,0219-7200,FORA DA BASE,bio Rxiv,2017
99,WOS:000417895400004,0219-7200,WOS:000312893300026,0305-1048,2013
100,WOS:000417895400007,0219-7200,WOS:000259530100001,1471-2105,2008
101,WOS:000417895400007,0219-7200,WOS:000318037800060,0027-8424,2013
102,WOS:000417895400007,0219-7200,WOS:A1994MY85400005,0026-9247,1994
103,WOS:000417895400007,0219-7200,WOS:000294791100021,0006-2960,2011
104,WOS:000417895400007,0219-7200,WOS:000314391200002,0006-2960,2013
105,WOS:000417895400007,0219-7200,WOS:000359505200018,0022-5193,2015
106,WOS:000417895400007,0219-7200,WOS:000282907000005,1046-2023,2010
107,WOS:000417895400007,0219-7200,WOS:000389472400064,1932-6203,2016
108,WOS:000417895400007,0219-7200,WOS:A1978FE26400006,0036-1399,1978
109,WOS:000417895400007,0219-7200,WOS:000314391200003,0006-2960,2013
110,WOS:000417895400007,0219-7200,WOS:000276812400001,1471-2105,2010
111,WOS:000417895400007,0219-7200,WOS:000318062600010,0305-1048,2013
112,WOS:000417895400007,0219-7200,WOS:000276399100042,0305-1048,2010
113,WOS:000417895400007,0219-7200,WOS:000259568700002,1355-8382,2008
114,WOS:000417895400007,0219-7200,WOS:000310135800003,1932-6203,2012
115,WOS:000417895400007,0219-7200,WOS:000183832900029,0305-1048,2003
116,WOS:000417895400007,0219-7200,WOS:A1981KZ75700010,0305-1048,1981
117,WOS:000417895400007,0219-7200,FORA DA BASE,Genome informatics. International Conference on Genome Informatics,2004
118,WOS:000417895400002,0219-7200,WOS:000232719300014,0962-8436,2005
119,WOS:000417895400002,0219-7200,WOS:000312810100036,1548-7091,2013
120,WOS:000417895400002,0219-7200,WOS:000087652500008,0022-0000,2000
121,WOS:000417895400002,0219-7200,WOS:000277175100003,1548-7091,2010
122,WOS:000417895400002,0219-7200,WOS:000246287900013,0167-7012,2007
123,WOS:000417895400002,0219-7200,WOS:A1997XQ03000004,1046-8188,1997
124,WOS:000417895400002,0219-7200,WOS:000272839000053,0036-8075,2009
125,WOS:000417895400002,0219-7200,WOS:000238961000071,0099-2240,2006
126,WOS:000417895400002,0219-7200,WOS:000282170000016,1367-4803,2010
127,WOS:000417895400002,0219-7200,WOS:000408190500001,2379-5077,2016
128,WOS:000417895400002,0219-7200,WOS:000238905700017,1367-4803,2006
129,WOS:000417895400002,0219-7200,WOS:000366413000001,2167-8359,2015
130,WOS:000417895400002,0219-7200,WOS:000298944300003,1944-3277,2011
131,WOS:000417895400002,0219-7200,WOS:000378900700001,1474-760X,2016
132,WOS:000417895400002,0219-7200,WOS:000254058200007,0168-9525,2008
133,WOS:000417895400002,0219-7200,WOS:000251868800024,0305-1048,2007
134,WOS:000417895400002,0219-7200,WOS:000275117500033,0028-0836,2010
135,WOS:000417895400002,0219-7200,WOS:000341174800029,0028-0836,2014
136,WOS:000417895400002,0219-7200,WOS:000343205200026,0962-8452,2014
